Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	5.0	0.0083033843	0.00408430398	2.91038305e-11
13.0	105.0	0.064444676	-82.589035	-82.5968781
13.0	205.0	0.128153235	-86.2769623	-86.2849045
13.0	305.0	0.192109615	-87.5146866	-87.5226746
13.0	405.0	0.256180644	-88.1344986	-88.1425018
13.0	505.0	0.320339561	-88.5065918	-88.5146103
13.0	605.0	0.384577662	-88.7547226	-88.762764
13.0	705.0	0.448891133	-88.9319992	-88.9400482
113.0	5.0	0.0721755251	0.0355020203	1.16415322e-10
113.0	105.0	0.0964316726	-41.4722214	-41.5403519
113.0	205.0	0.146883637	-60.4983559	-60.5674019
113.0	305.0	0.205093294	-69.3250656	-69.394455
113.0	405.0	0.266066313	-74.1897812	-74.2593536
113.0	505.0	0.328307509	-77.2298355	-77.2995453
113.0	605.0	0.391246736	-79.2989578	-79.3687668
113.0	705.0	0.454623908	-80.7946396	-80.8645325
213.0	5.0	0.136047482	0.0669197217	1.0477379e-09
213.0	105.0	0.150376678	-25.0829697	-25.2113876
213.0	205.0	0.18682453	-43.1307487	-43.2609062
213.0	305.0	0.235385612	-54.5588722	-54.6896591
213.0	405.0	0.290084392	-61.8982849	-62.0294342
213.0	505.0	0.348077714	-66.8595428	-66.9909439
213.0	605.0	0.407996058	-70.3886414	-70.5202408
213.0	705.0	0.46913147	-73.0092163	-73.140976
313.0	5.0	0.199919045	0.0983373672	-1.25146471e-09
313.0	105.0	0.209988698	-17.6206551	-17.8093758
313.0	205.0	0.237505808	-32.4801712	-32.6714363
313.0	305.0	0.27737236	-43.6875572	-43.8797493
313.0	405.0	0.325117618	-51.8592224	-52.0519447
313.0	505.0	0.377801657	-57.8557816	-58.0488739
313.0	605.0	0.433659285	-62.3527489	-62.5461311
313.0	705.0	0.491637588	-65.8107834	-66.0044022
413.0	5.0	0.263790905	0.128680497	-0.108503796
413.0	105.0	0.271561086	-13.4825163	-13.7315655
413.0	205.0	0.293413639	-25.7104778	-25.9628525
413.0	305.0	0.32657367	-35.865654	-36.1192551
413.0	405.0	0.368033677	-43.9551315	-44.2094307
413.0	505.0	0.415347874	-50.3144455	-50.5692291
