Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
1900.0	-89.0	-80.0	1400.0	25.0	0.327080727	(0.0013945243352537582-0.00015994623403359573j)	-87.1298599	-87.1451492	0	0
1900.0	-89.0	-80.0	1500.0	25.0	0.261712432	(0.00010470639736602051+0.00026062305859300455j)	-86.4414749	-86.4539795	0	0
1900.0	-89.0	-80.0	1500.0	25.0	0.261710644	(0.00016145745707053728+0.0015906235525415691j)	-86.4113693	-86.4239197	0	0
1900.0	-89.0	-80.0	1600.0	25.0	0.196473956	(0.001102265312359229+0.001539400831258815j)	-85.2374573	-85.2515869	0	0
1900.0	-89.0	-80.0	1600.0	25.0	0.196473584	(0.0004230897217407984+0.0006704010520072423j)	-85.2073593	-85.2215271	0	0
1900.0	-89.0	-80.0	1700.0	25.0	0.131476611	(0.0009335626612226816+0.0005499323805881447j)	-82.8896332	-82.8974686	0	0
1900.0	-89.0	-80.0	1700.0	25.0	0.131476	(0.0026020278202578398+0.001890483870474557j)	-82.8595352	-82.8673706	0	0
2300.0	-89.0	-80.0	1400.0	25.0	0.586978197	(-5.6768385651836016e-05-1.6521754072456885e-05j)	-88.428093	-88.4426193	0	0
2300.0	-89.0	-80.0	1400.0	25.0	0.586971939	(-0.0001587772734590217-0.0005050829425493565j)	-88.397995	-88.4126511	0	0
2300.0	-89.0	-80.0	1500.0	25.0	0.521524191	(0.00027885605373563016-0.0002156721993250773j)	-88.217392	-88.2328415	0	0
2300.0	-89.0	-80.0	1500.0	25.0	0.521519303	(0.00035573506269764507+3.910384595599483e-05j)	-88.187294	-88.2004547	0	0
2300.0	-89.0	-80.0	1600.0	25.0	0.456164956	(5.1164695779426716e-06-5.0462289297277515e-06j)	-87.9765854	-87.990448	0	0
2300.0	-89.0	-80.0	1600.0	25.0	0.456159413	(0.0008598983937215402+7.951303659017593e-05j)	-87.9464874	-87.9604416	0	0
2300.0	-89.0	-80.0	1700.0	25.0	0.390870601	(7.139811443162185e-05+0.0007540489152621266j)	-87.615387	-87.6303329	0	0
2300.0	-89.0	-80.0	1700.0	25.0	0.39086917	(-4.327998483139125e-05+0.0003300795527184371j)	-87.5852814	-87.6003189	0	0
2300.0	-89.0	-80.0	1800.0	25.0	0.325675488	(0.0009219510345440394+0.000790430929920142j)	-87.1337814	-87.1463547	0	0
2300.0	-89.0	-80.0	1800.0	25.0	0.325671732	(5.045435636392399e-05+0.0001808534287858446j)	-87.1036758	-87.1163025	0	0
2300.0	-89.0	-80.0	1900.0	25.0	0.260580599	(-0.00027513588485983203+2.5964394700987705e-05j)	-86.4414749	-86.4551849	0	0
