Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	5.0	0.00830285344	0.0040840432	0.0
13.0	105.0	0.0644405559	-82.589035	-82.5968781
13.0	205.0	0.128145039	-86.276947	-86.2848969
13.0	305.0	0.192097321	-87.5146866	-87.5226746
13.0	405.0	0.256164223	-88.134491	-88.1424866
13.0	505.0	0.320319057	-88.5065842	-88.5146027
13.0	605.0	0.384553015	-88.7547302	-88.762764
13.0	705.0	0.448862314	-88.9319916	-88.940033
113.0	5.0	0.0721709207	0.0354997553	2.91038305e-11
113.0	105.0	0.0964255035	-41.472229	-41.5403481
113.0	205.0	0.146874249	-60.4983559	-60.5673981
113.0	305.0	0.205080181	-69.3250732	-69.3944473
113.0	405.0	0.266049296	-74.1897812	-74.2593536
113.0	505.0	0.328286529	-77.2298431	-77.2995453
113.0	605.0	0.391221642	-79.2989578	-79.3687592
113.0	705.0	0.454594791	-80.7946472	-80.8645325
213.0	5.0	0.136038795	0.066915445	1.03318598e-09
213.0	105.0	0.150367081	-25.0829773	-25.2113857
213.0	205.0	0.186812595	-43.1307564	-43.2608948
213.0	305.0	0.235370532	-54.5588722	-54.6896477
213.0	405.0	0.290065825	-61.8982849	-62.0294266
213.0	505.0	0.348055393	-66.8595428	-66.9909363
213.0	605.0	0.407969952	-70.3886566	-70.5202408
213.0	705.0	0.469101429	-73.0092316	-73.140976
313.0	5.0	0.19990629	0.0983310938	-1.19325705e-09
313.0	105.0	0.209975272	-17.6206608	-17.8093681
313.0	205.0	0.237490654	-32.4801788	-32.6714287
313.0	305.0	0.277354628	-43.687561	-43.8797417
313.0	405.0	0.325096816	-51.85923	-52.0519371
313.0	505.0	0.377777457	-57.8557892	-58.0488663
313.0	605.0	0.43363148	-62.3527565	-62.5461197
313.0	705.0	0.491606057	-65.8107834	-66.0043945
413.0	5.0	0.263774008	0.128672257	-0.10849686
413.0	105.0	0.271543741	-13.4825249	-13.7315588
413.0	205.0	0.293394923	-25.7104874	-25.9628468
413.0	305.0	0.326552749	-35.8656616	-36.1192474
413.0	405.0	0.368010134	-43.9551392	-44.2094193
413.0	505.0	0.41532129	-50.3144531	-50.5692215
413.0	605.0	0.466738403	-55.3301544	-55.5853043
413.0	705.0	0.521073461	-59.3304138	-59.5858841
513.0	5.0	0.327641815	0.160087556	-0.10849683
513.0	105.0	0.333990306	-10.8707018	-11.1800861
513.0	205.0	0.352044195	-21.1392174	-21.4526958
513.0	305.0	0.380174458	-30.1590328	-30.4740257
513.0	405.0	0.416375637	-37.7845535	-38.1004105
513.0	505.0	0.458770543	-44.1047173	-44.4211807
513.0	605.0	0.505830824	-49.309433	-49.6263657
513.0	705.0	0.556398332	-53.6036987	-53.9210205
613.0	5.0	0.391509235	0.19150278	-0.108496696
613.0	105.0	0.396900386	-9.07428169	-9.44404602
613.0	205.0	0.412268519	-17.8787327	-18.2533398
613.0	305.0	0.436592728	-25.8859329	-26.2623425
613.0	405.0	0.468507826	-32.9344673	-33.3119049
613.0	505.0	0.50660795	-39.0115395	-39.3896942
613.0	605.0	0.549632967	-44.1946335	-44.573349
613.0	705.0	0.596541047	-48.5994644	-48.978653
713.0	5.0	0.455376387	0.221843675	-0.216993123
713.0	105.0	0.460083634	-7.76176739	-8.19195938
713.0	205.0	0.473467231	-15.4469986	-15.8827524
713.0	305.0	0.494851887	-22.5970955	-23.0349255
713.0	405.0	0.523282051	-29.0705452	-29.5095634
713.0	505.0	0.557705462	-34.8181	-35.2579536
713.0	605.0	0.597109377	-39.8585548	-40.299057
713.0	705.0	0.640596449	-44.250206	-44.6912575
813.0	5.0	0.519243896	0.253258646	-0.216992646
813.0	105.0	0.523441553	-6.75905609	-7.24971676
813.0	205.0	0.535306692	-13.5672379	-14.0641537
813.0	305.0	0.554371834	-20.0008965	-20.5001583
813.0	405.0	0.579949975	-25.943924	-26.4445343
813.0	505.0	0.61124599	-31.3381481	-31.8396988
813.0	605.0	0.647452056	-36.1738358	-36.6761284
813.0	705.0	0.687813103	-40.4748383	-40.9777527
913.0	5.0	0.583111048	0.284673423	-0.216991976
913.0	105.0	0.58691746	-5.96631622	-6.5174942
913.0	205.0	0.597587645	-12.071538	-12.629631
913.0	305.0	0.614786267	-17.9053459	-18.4660435
913.0	405.0	0.638007343	-23.3743343	-23.9365387
913.0	505.0	0.666641057	-28.4222851	-28.9855404
913.0	605.0	0.700042903	-33.0269089	-33.5909958
913.0	705.0	0.737583995	-37.1923676	-37.7571526
1013.0	5.0	0.646977663	0.316087961	-0.216991141
1013.0	105.0	0.650476456	-5.3223238	-5.93407965
1013.0	205.0	0.660185039	-10.8529129	-11.4722042
1013.0	305.0	0.675855279	-16.1809883	-16.8031368
1013.0	405.0	0.697106838	-21.2315712	-21.8553772
1013.0	505.0	0.723464608	-25.9541702	-26.5791359
1013.0	605.0	0.754411817	-30.3220768	-30.9479599
1013.0	705.0	0.789426088	-34.3287659	-34.9554214
1113.0	5.0	0.710844636	0.346428394	-0.325486511
1113.0	105.0	0.714096069	-4.78748369	-5.45987415
1113.0	205.0	0.72301662	-9.84031868	-10.5208263
1113.0	305.0	0.737416804	-14.7382603	-15.421875
1113.0	405.0	0.75700438	-19.4208622	-20.1062756
1113.0	505.0	0.781405091	-23.8441372	-24.5308247
1113.0	605.0	0.81020087	-27.9809799	-28.6686649
1113.0	705.0	0.842957556	-31.8194695	-32.5079956
1213.0	5.0	0.774711311	0.377842605	-0.32548514
1213.0	105.0	0.777762234	-4.33508062	-5.06816912
1213.0	205.0	0.786025941	-8.98486423	-9.72661209
1213.0	305.0	0.799356818	-13.5136557	-14.2587481
1213.0	405.0	0.817524493	-17.8723373	-18.6193733
1213.0	505.0	0.840231478	-22.0231113	-22.7715187
1213.0	605.0	0.867135882	-25.9402962	-26.6897869
1213.0	705.0	0.897875786	-29.6096401	-30.3600483
1313.0	5.0	0.838577509	0.409256518	-0.325483471
1313.0	105.0	0.841463685	-3.94644356	-4.74028778
1313.0	205.0	0.849173427	-8.25188255	-9.05489445
1313.0	305.0	0.861593306	-12.4610767	-13.2676601
1313.0	405.0	0.878538489	-16.5337639	-17.3424244
1313.0	505.0	0.899769902	-20.437603	-21.2477398
1313.0	605.0	0.925005257	-24.1490993	-24.9604053
1313.0	705.0	0.953941584	-27.6533871	-28.4656792
1413.0	5.0	0.90244329	0.439596176	-0.433977455
1413.0	105.0	0.905192852	-3.60813713	-4.46282673
1413.0	205.0	0.912430286	-7.61613846	-8.48045063
1413.0	305.0	0.924066603	-11.5463619	-12.4144506
1413.0	405.0	0.939950287	-15.3655014	-16.2358055
1413.0	505.0	0.959887624	-19.0458908	-19.9177666
1413.0	605.0	0.983644009	-22.5664272	-23.4395504
1413.0	705.0	1.01096368	-25.9125385	-26.7867203
1513.0	5.0	0.966309369	0.471009761	-0.433975309
1513.0	105.0	0.968944311	-3.31024551	-4.22584057
1513.0	205.0	0.975775838	-7.05883837	-7.98447132
1513.0	305.0	0.98673135	-10.7437086	-11.6733189
1513.0	405.0	1.00168693	-14.3370428	-15.2689953
1513.0	505.0	1.0204823	-17.8151474	-18.7487698
1513.0	605.0	1.04292226	-21.1592102	-22.0941544
1513.0	705.0	1.06878912	-24.3554497	-25.2915249
