Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	5.0	0.00829808414	0.00408169674	-2.91038305e-11
13.0	105.0	0.064403519	-82.5890427	-82.5968781
13.0	205.0	0.128071353	-86.2769623	-86.2849045
13.0	305.0	0.191986769	-87.514679	-87.5226593
13.0	405.0	0.256016731	-88.134491	-88.1424866
13.0	505.0	0.32013455	-88.5065994	-88.5146027
13.0	605.0	0.384331375	-88.7547302	-88.7627563
13.0	705.0	0.448603511	-88.9319992	-88.9400406
113.0	5.0	0.0721294582	0.0354793593	5.82076609e-11
113.0	105.0	0.0963700861	-41.4722481	-41.5403328
113.0	205.0	0.146789789	-60.4983749	-60.567379
113.0	305.0	0.204962179	-69.3250885	-69.3944321
113.0	405.0	0.265896112	-74.1898041	-74.2593307
113.0	505.0	0.328097403	-77.2298584	-77.2995224
113.0	605.0	0.390996128	-79.2989731	-79.3687515
113.0	705.0	0.45433265	-80.7946625	-80.8645172
213.0	5.0	0.135960653	0.0668770075	1.09139364e-09
213.0	105.0	0.150280654	-25.0830135	-25.2113495
213.0	205.0	0.186705157	-43.1307907	-43.2608604
213.0	305.0	0.235235095	-54.5589104	-54.6896133
213.0	405.0	0.289898813	-61.8983269	-62.0293884
213.0	505.0	0.347854912	-66.8595886	-66.9909058
213.0	605.0	0.407734811	-70.3886948	-70.5202026
213.0	705.0	0.468830884	-73.0092621	-73.1409454
313.0	5.0	0.199791431	0.0982746035	-1.0477379e-09
313.0	105.0	0.209854588	-17.6207161	-17.8093185
313.0	205.0	0.23735404	-32.4802361	-32.6713791
313.0	305.0	0.277195036	-43.6876183	-43.8796883
313.0	405.0	0.324909627	-51.8592834	-52.0518799
313.0	505.0	0.377559841	-57.8558464	-58.0488167
313.0	605.0	0.433381557	-62.3528137	-62.5460663
313.0	705.0	0.491322577	-65.8108444	-66.0043488
413.0	5.0	0.263622522	0.128598362	-0.108434543
413.0	105.0	0.271387666	-13.4825983	-13.7314892
413.0	205.0	0.293226123	-25.7105598	-25.9627762
413.0	305.0	0.326364875	-35.8657379	-36.119175
413.0	405.0	0.367798269	-43.9552116	-44.2093506
413.0	505.0	0.415082037	-50.3145218	-50.5691452
413.0	605.0	0.466469407	-55.3302307	-55.5852356
413.0	705.0	0.520772934	-59.3304901	-59.5858116
513.0	5.0	0.327453583	0.159995586	-0.108434498
513.0	105.0	0.333798349	-10.8707943	-11.1799994
513.0	205.0	0.351841718	-21.1393108	-21.4526081
513.0	305.0	0.379955709	-30.1591225	-30.4739361
513.0	405.0	0.416135967	-37.7846527	-38.1003265
513.0	505.0	0.458506256	-44.1048088	-44.4210854
513.0	605.0	0.505539238	-49.3095245	-49.6262741
513.0	705.0	0.55607748	-53.6037903	-53.9209328
613.0	5.0	0.391284347	0.191392779	-0.108434379
613.0	105.0	0.396672249	-9.07439137	-9.44394302
613.0	205.0	0.412031412	-17.8788414	-18.253233
613.0	305.0	0.436341524	-25.8860435	-26.2622356
613.0	405.0	0.468238115	-32.9345779	-33.3117943
613.0	505.0	0.506316125	-39.0116501	-39.3895874
613.0	605.0	0.549316227	-44.1947479	-44.5732422
613.0	705.0	0.596197009	-48.5995712	-48.9785423
713.0	5.0	0.455114782	0.221716225	-0.21686846
713.0	105.0	0.459819227	-7.76189518	-8.19184017
713.0	205.0	0.473194897	-15.4471245	-15.8826275
713.0	305.0	0.494567215	-22.5972233	-23.0348015
713.0	405.0	0.52298075	-29.0706749	-29.5094376
713.0	505.0	0.557384193	-34.8182335	-35.2578278
713.0	605.0	0.59676522	-39.8586845	-40.2989349
713.0	705.0	0.64022702	-44.2503319	-44.6911316
813.0	5.0	0.518945575	0.253113151	-0.216867983
813.0	105.0	0.523140788	-6.759202	-7.24958038
813.0	205.0	0.534998894	-13.5673847	-14.0640144
813.0	305.0	0.55405283	-20.0010433	-20.5000172
813.0	405.0	0.579616129	-25.9440708	-26.4443932
813.0	505.0	0.610893786	-31.3382931	-31.8395538
813.0	605.0	0.647078872	-36.1739807	-36.6759872
813.0	705.0	0.687416434	-40.4749794	-40.9776077
913.0	5.0	0.582776189	0.284509927	-0.216867343
913.0	105.0	0.586580098	-5.9664793	-6.51734018
913.0	205.0	0.597243965	-12.071701	-12.6294727
913.0	305.0	0.614432514	-17.905508	-18.4658833
913.0	405.0	0.637639999	-23.3745003	-23.9363785
913.0	505.0	0.666256964	-28.4224453	-28.9853783
913.0	605.0	0.69963938	-33.0270729	-33.5908356
913.0	705.0	0.737158597	-37.1925278	-37.7569847
1013.0	5.0	0.646606088	0.315906405	-0.216866508
1013.0	105.0	0.650102496	-5.322505	-5.93390894
1013.0	205.0	0.659805357	-10.8530951	-11.4720287
1013.0	305.0	0.675466418	-16.1811695	-16.8029594
1013.0	405.0	0.696705461	-21.2317543	-21.8551998
1013.0	505.0	0.723047853	-25.9543495	-26.5789566
1013.0	605.0	0.753977001	-30.322258	-30.9477825
1013.0	705.0	0.788970947	-34.328949	-34.955246
1113.0	5.0	0.710436225	0.346229374	-0.325299531
1113.0	105.0	0.713685513	-4.78768301	-5.45968628
1113.0	205.0	0.722600758	-9.84051704	-10.5206337
1113.0	305.0	0.736992419	-14.7384586	-15.4216805
1113.0	405.0	0.756568491	-19.4210606	-20.106081
1113.0	505.0	0.780955017	-23.8443375	-24.5306282
1113.0	605.0	0.809733868	-27.9811783	-28.6684685
1113.0	705.0	0.842471302	-31.819664	-32.5077972
1213.0	5.0	0.774266303	0.377625585	-0.32529819
1213.0	105.0	0.77731514	-4.33529568	-5.06796169
1213.0	205.0	0.785573959	-8.98508263	-9.72640324
1213.0	305.0	0.798896849	-13.5138721	-14.2585373
1213.0	405.0	0.817053795	-17.8725548	-18.6191597
1213.0	505.0	0.839747488	-22.023325	-22.7713032
1213.0	605.0	0.866636157	-25.9405136	-26.6895733
1213.0	705.0	0.897358	-29.6098576	-30.3598347
