Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	5.0	0.00845892169	0.00201466633	0.0
13.0	105.0	0.0656339079	-82.5910797	-82.594986
13.0	205.0	0.130482376	-86.2789993	-86.2829437
13.0	305.0	0.195547074	-87.5167313	-87.5206757
13.0	405.0	0.260692686	-88.1365356	-88.1404953
13.0	505.0	0.325891346	-88.5086365	-88.5125961
13.0	605.0	0.391133994	-88.7567749	-88.7607269
13.0	705.0	0.456416756	-88.9340591	-88.9380112
113.0	5.0	0.0735275447	0.0175121017	0.0
113.0	105.0	0.0982112214	-41.4900284	-41.5239258
113.0	205.0	0.149553224	-60.5160675	-60.5503845
113.0	305.0	0.208763108	-69.3428116	-69.3770981
113.0	405.0	0.270752519	-74.2075729	-74.2419968
113.0	505.0	0.333997428	-77.2476501	-77.2820435
113.0	605.0	0.397916824	-79.316803	-79.3511887
113.0	705.0	0.462245703	-80.8125153	-80.8469009
213.0	5.0	0.138596117	0.0330095328	2.98314262e-10
213.0	105.0	0.153151885	-25.1165352	-25.1804237
213.0	205.0	0.190220088	-43.1641388	-43.2288208
213.0	305.0	0.239597499	-54.5923157	-54.6569481
213.0	405.0	0.295193672	-61.9318161	-61.9967041
213.0	505.0	0.354110241	-66.8931198	-66.9579315
213.0	605.0	0.414951801	-70.422287	-70.4870987
213.0	705.0	0.476996541	-73.042923	-73.1077194
313.0	5.0	0.203664586	0.0485069603	-2.91038305e-10
313.0	105.0	0.213864326	-17.6699753	-17.7638626
313.0	205.0	0.241822645	-32.5292358	-32.6242905
313.0	305.0	0.282335669	-43.7367096	-43.8316841
313.0	405.0	0.330844045	-51.9084969	-52.0038452
313.0	505.0	0.384349465	-57.9051208	-58.00037
313.0	605.0	0.441052586	-62.4021835	-62.4974213
313.0	705.0	0.499880075	-65.8603058	-65.9555206
413.0	5.0	0.268733144	0.0634735525	-0.0535177514
413.0	105.0	0.276573241	-13.5475063	-13.6713581
413.0	205.0	0.298746854	-25.7752151	-25.9006386
413.0	305.0	0.332417518	-35.9305115	-36.0558281
413.0	405.0	0.374516129	-44.0201492	-44.1459656
413.0	505.0	0.422546566	-50.3795471	-50.5052338
413.0	605.0	0.47472626	-55.3953819	-55.5210495
413.0	705.0	0.529843569	-59.3957558	-59.5213966
513.0	5.0	0.333801657	0.0789693668	-0.053517174
513.0	105.0	0.340176374	-10.951314	-11.1051245
513.0	205.0	0.358466327	-21.2196198	-21.3754139
513.0	305.0	0.387002468	-30.239584	-30.3952484
513.0	405.0	0.423736989	-37.8653107	-38.021595
513.0	505.0	0.466751933	-44.1855774	-44.3416901
513.0	605.0	0.514487922	-49.3904495	-49.5465393
513.0	705.0	0.565763235	-53.6848526	-53.8409233
613.0	5.0	0.39887017	0.0944646597	-0.0535163544
613.0	105.0	0.404251814	-9.17055511	-9.35434628
613.0	205.0	0.419789791	-17.9748058	-18.1609745
613.0	305.0	0.444434375	-25.9821873	-26.1681995
613.0	405.0	0.476791114	-33.0309563	-33.2177048
613.0	505.0	0.515421867	-39.1081581	-39.2947044
613.0	605.0	0.55904007	-44.2914429	-44.4779625
613.0	705.0	0.606581926	-48.6964455	-48.8829308
713.0	5.0	0.463938504	0.109429494	-0.107033037
713.0	105.0	0.468605816	-7.87372208	-8.08751202
713.0	205.0	0.482105523	-15.5587549	-15.7752895
713.0	305.0	0.50374043	-22.7090511	-22.9254112
713.0	405.0	0.532534063	-29.1827793	-29.399992
713.0	505.0	0.567408741	-34.930481	-35.1474609
713.0	605.0	0.607329249	-39.9711571	-40.1881065
713.0	705.0	0.651379228	-44.3630066	-44.5799179
813.0	5.0	0.529006958	0.124923438	-0.107030198
813.0	105.0	0.5331375	-6.88668823	-7.13048172
813.0	205.0	0.54507339	-13.6946726	-13.9415178
813.0	305.0	0.564329922	-20.1285553	-20.375267
813.0	405.0	0.590204477	-26.0719013	-26.3195839
813.0	505.0	0.621881247	-31.4662857	-31.7137032
813.0	605.0	0.65853411	-36.3022308	-36.549614
813.0	705.0	0.699391007	-40.6034508	-40.8507881
913.0	5.0	0.594075441	0.140416384	-0.107026808
913.0	105.0	0.597789526	-6.10962772	-6.38343525
913.0	205.0	0.608490825	-12.2146454	-12.4918175
913.0	305.0	0.625830293	-18.0487022	-18.3257713
913.0	405.0	0.649288952	-23.5180473	-23.7961998
913.0	505.0	0.678240538	-28.5661812	-28.8440342
913.0	605.0	0.712025762	-33.171093	-33.4489059
913.0	705.0	0.750000298	-37.3368034	-37.6145668
1013.0	5.0	0.659143686	0.155908167	-0.107023045
1013.0	105.0	0.662526369	-5.48131657	-5.78515625
1013.0	205.0	0.67223078	-11.011693	-11.3192081
1013.0	305.0	0.687997282	-16.340044	-16.6474724
1013.0	405.0	0.709434211	-21.3910217	-21.6996498
1013.0	505.0	0.736053586	-26.1138248	-26.4221191
1013.0	605.0	0.767325938	-30.4820499	-30.7902966
1013.0	705.0	0.802715898	-34.4890213	-34.7972069
1113.0	5.0	0.72421205	0.17086944	-0.160535544
1113.0	105.0	0.72732532	-4.96216345	-5.29605722
1113.0	205.0	0.736209333	-10.0147648	-10.3526382
1113.0	305.0	0.750665426	-14.9130545	-15.2508602
1113.0	405.0	0.770391822	-19.5960503	-19.9351501
1113.0	505.0	0.795003176	-24.019556	-24.3582878
1113.0	605.0	0.824070752	-28.156744	-28.4954224
1113.0	705.0	0.857149184	-31.9955406	-32.334156
1213.0	5.0	0.789280295	0.186359167	-0.160528496
1213.0	105.0	0.792171538	-4.52544451	-4.88940001
1213.0	205.0	0.800369143	-9.17497921	-9.54322147
1213.0	305.0	0.813718915	-13.7041845	-14.0723629
1213.0	405.0	0.831983268	-18.0632687	-18.4328442
1213.0	505.0	0.854854226	-22.2142868	-22.5834618
1213.0	605.0	0.881981373	-26.1318512	-26.5009689
1213.0	705.0	0.912992954	-29.8015308	-30.1705761
1313.0	5.0	0.854348481	0.20184733	-0.160520703
1313.0	105.0	0.857053995	-4.15249252	-4.54652882
1313.0	205.0	0.864670038	-8.45766449	-8.85628891
1313.0	305.0	0.87707448	-12.6673355	-13.0658894
1313.0	405.0	0.89407748	-16.7404308	-17.1404877
1313.0	505.0	0.91542989	-20.6445389	-21.0441589
1313.0	605.0	0.940842628	-24.3564453	-24.7559986
1313.0	705.0	0.970003724	-27.8610878	-28.2605667
1413.0	5.0	0.919416547	0.216804489	-0.214030117
1413.0	105.0	0.921964884	-3.82987285	-4.25400782
1413.0	205.0	0.929082572	-7.83758545	-8.26660156
1413.0	305.0	0.940671086	-11.7683449	-12.197278
1413.0	405.0	0.956576705	-15.5879116	-16.0184402
1413.0	505.0	0.976595283	-19.2685871	-19.6986542
1413.0	605.0	1.00048649	-22.7895622	-23.219553
1413.0	705.0	1.02798724	-26.1360626	-26.5659714
1513.0	5.0	0.984484673	0.232290015	-0.214018449
1513.0	105.0	0.98689878	-3.54767156	-4.00193357
1513.0	205.0	0.99358511	-7.29596615	-7.75536966
1513.0	305.0	1.00446308	-10.9814129	-11.4407291
1513.0	405.0	1.01940644	-14.575202	-15.0361767
1513.0	505.0	1.03824615	-18.0536022	-18.5141163
1513.0	605.0	1.06078124	-21.3981342	-21.8585663
1513.0	705.0	1.0867877	-24.5947914	-25.0551338
