Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	5.0	0.00830139965	0.00428466918	-1.45519152e-11
13.0	105.0	0.0644312352	-82.5888367	-82.5971146
13.0	205.0	0.128129706	-86.2767487	-86.2850723
13.0	305.0	0.192077309	-87.5144958	-87.5227661
13.0	405.0	0.256142706	-88.1343231	-88.1426468
13.0	505.0	0.32029897	-88.506424	-88.5147705
13.0	605.0	0.384536445	-88.7545547	-88.7629013
13.0	705.0	0.448851883	-88.931839	-88.9401855
113.0	5.0	0.072158277	0.0372436643	1.16415322e-10
113.0	105.0	0.0964115635	-41.4704704	-41.5423546
113.0	205.0	0.146856651	-60.4964943	-60.5688629
113.0	305.0	0.205058813	-69.32341	-69.3953094
113.0	405.0	0.266026944	-74.1883011	-74.2606506
113.0	505.0	0.328265905	-77.228363	-77.3009262
113.0	605.0	0.391204834	-79.2975006	-79.3699799
113.0	705.0	0.454584241	-80.7932281	-80.8657608
213.0	5.0	0.136014938	0.0702026337	-1.12049747e-09
213.0	105.0	0.150345325	-25.0796604	-25.2151604
213.0	205.0	0.186790183	-43.1272507	-43.2636528
213.0	305.0	0.235345989	-54.5557518	-54.6912689
213.0	405.0	0.290041447	-61.8954849	-62.031868
213.0	505.0	0.348033518	-66.8567657	-66.9935455
213.0	605.0	0.407952368	-70.3859024	-70.5225296
213.0	705.0	0.469090462	-73.0065308	-73.1432724
313.0	5.0	0.199871212	0.103161551	3.20142135e-10
313.0	105.0	0.209944829	-17.6157894	-17.8149147
313.0	205.0	0.237462133	-32.475029	-32.6754761
313.0	305.0	0.27732569	-43.6829834	-43.8821259
313.0	405.0	0.325069487	-51.8551178	-52.0555305
313.0	505.0	0.377753735	-57.8516998	-58.0526924
313.0	605.0	0.433612853	-62.3487244	-62.5494919
313.0	705.0	0.491594553	-65.806839	-66.0077667
413.0	5.0	0.263727725	0.134989917	-0.113809951
413.0	105.0	0.271504164	-13.475956	-13.7386341
413.0	205.0	0.293359637	-25.7036896	-25.9681873
413.0	305.0	0.326518714	-35.8596191	-36.1223984
413.0	405.0	0.367979199	-43.949707	-44.2141571
413.0	505.0	0.415295213	-50.3090591	-50.5742683
413.0	605.0	0.466718256	-55.3248291	-55.5897446
413.0	705.0	0.521061242	-59.3252144	-59.590332
513.0	5.0	0.327584296	0.167942584	-0.113807768
513.0	105.0	0.33394146	-10.8623724	-11.1885929
513.0	205.0	0.352001846	-21.1307755	-21.4593391
513.0	305.0	0.380134791	-30.1515217	-30.4779434
513.0	405.0	0.416340679	-37.7778206	-38.1063004
513.0	505.0	0.458741665	-44.0980186	-44.4274445
513.0	605.0	0.505808949	-49.3028183	-49.6318817
513.0	705.0	0.556385279	-53.5972328	-53.9265442
613.0	5.0	0.391440451	0.200893238	-0.113804623
613.0	105.0	0.396842241	-9.06423473	-9.45407391
613.0	205.0	0.412218928	-17.8686466	-18.2612839
613.0	305.0	0.43654716	-25.876955	-26.2670307
613.0	405.0	0.468468398	-32.9264069	-33.3189316
613.0	505.0	0.506576061	-39.0035324	-39.3971825
613.0	605.0	0.549609303	-44.1867294	-44.5799484
613.0	705.0	0.59652704	-48.5917358	-48.9852524
713.0	5.0	0.455296367	0.232714906	-0.22761026
713.0	105.0	0.460016131	-7.75003338	-8.20356941
713.0	205.0	0.473410159	-15.4353056	-15.8920164
713.0	305.0	0.49480021	-22.5866508	-23.0403862
713.0	405.0	0.523237944	-29.0611668	-29.5177422
713.0	505.0	0.557670295	-34.8087883	-35.2666664
713.0	605.0	0.597083569	-39.8493614	-40.3067322
713.0	705.0	0.640581369	-44.2412186	-44.6989326
813.0	5.0	0.519152641	0.265660346	-0.227599293
813.0	105.0	0.523364723	-6.74565172	-7.26290369
813.0	205.0	0.5352422	-13.5540009	-14.074626
813.0	305.0	0.554313779	-19.9889812	-20.5063972
813.0	405.0	0.579901099	-25.9332275	-26.4538574
813.0	505.0	0.611207366	-31.3275242	-31.8496342
813.0	605.0	0.647423983	-36.163353	-36.6848793
813.0	705.0	0.687796831	-40.4645844	-40.9865112
913.0	5.0	0.583008528	0.298601896	-0.227586091
913.0	105.0	0.586831212	-5.95124292	-6.53226185
913.0	205.0	0.597515583	-12.0567303	-12.6413326
913.0	305.0	0.614721835	-17.8919563	-18.4730663
913.0	405.0	0.63795346	-23.3623142	-23.9470062
913.0	505.0	0.666598856	-28.4103508	-28.9966946
913.0	605.0	0.700012565	-33.0151329	-33.6008224
913.0	705.0	0.73756659	-37.1808586	-37.7669868
1013.0	5.0	0.646863818	0.331538945	-0.227571353
1013.0	105.0	0.65038085	-5.30557966	-5.95044613
1013.0	205.0	0.660105467	-10.8365145	-11.4851475
1013.0	305.0	0.675784409	-16.1661243	-16.8109474
1013.0	405.0	0.697047889	-21.2182274	-21.866991
1013.0	505.0	0.723418772	-25.9409237	-26.5915108
1013.0	605.0	0.754378915	-30.3090057	-30.958868
1013.0	705.0	0.789407432	-34.3159943	-34.9663353
1113.0	5.0	0.710719347	0.363346696	-0.34136045
1113.0	105.0	0.713990867	-4.76907635	-5.47786283
1113.0	205.0	0.722929358	-9.82230949	-10.5350246
1113.0	305.0	0.737339795	-14.7220507	-15.4306746
1113.0	405.0	0.756940305	-19.4061909	-20.1190338
1113.0	505.0	0.781355619	-23.8295822	-24.5444202
1113.0	605.0	0.810165524	-27.9666138	-28.6806507
1113.0	705.0	0.84293741	-31.8054276	-32.519989
1213.0	5.0	0.774574816	0.396275699	-0.341332972
1213.0	105.0	0.777647614	-4.31502056	-5.08777189
1213.0	205.0	0.785931051	-8.96523476	-9.74207878
1213.0	305.0	0.79927361	-13.4961004	-14.2685404
1213.0	405.0	0.817455232	-17.8563385	-18.6332741
1213.0	505.0	0.840178072	-22.0072403	-22.786335
1213.0	605.0	0.867097974	-25.9246368	-26.7028542
1213.0	705.0	0.897854328	-29.5943375	-30.3731194
1313.0	5.0	0.83842963	0.429198444	-0.341302216
1313.0	105.0	0.841339707	-3.92472887	-4.76152706
1313.0	205.0	0.849070787	-8.2306242	-9.07164192
1313.0	305.0	0.861503959	-12.4421539	-13.2784233
1313.0	405.0	0.878463864	-16.5164337	-17.3574715
1313.0	505.0	0.899712503	-20.4204178	-21.2637749
1313.0	605.0	0.924964726	-24.1321468	-24.9745522
1313.0	705.0	0.953918576	-27.636816	-28.4798279
1413.0	5.0	0.902284086	0.460990071	-0.455078572
1413.0	105.0	0.905059099	-3.58476925	-4.48569298
1413.0	205.0	0.912319779	-7.59324217	-8.4984951
1413.0	305.0	0.923970819	-11.5260544	-12.4261703
1413.0	405.0	0.939870358	-15.3468513	-16.2520218
1413.0	505.0	0.95982641	-19.0273952	-19.9350281
1413.0	605.0	0.983600795	-22.5481796	-23.4547806
1413.0	705.0	1.01093924	-25.8947048	-26.8019524
1513.0	5.0	0.96613884	0.493902355	-0.455032647
1513.0	105.0	0.968801022	-3.28522849	-4.25035667
1513.0	205.0	0.975657463	-7.0343523	-8.0038271
1513.0	305.0	0.986629128	-10.7219992	-11.6859818
1513.0	405.0	1.0016017	-14.31707	-15.2863264
1513.0	505.0	1.02041709	-17.7953339	-18.7672462
1513.0	605.0	1.04287636	-21.1396637	-22.1104698
1513.0	705.0	1.06876326	-24.3363533	-25.3078384
