Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	3.0	0.00828114804	0.00407336652	-2.91038305e-11
13.0	100.0	0.0623756424	-82.3625946	-82.3666763
13.0	200.0	0.125899166	-86.2204819	-86.2267075
13.0	300.0	0.189679727	-87.4896545	-87.4964905
13.0	400.0	0.253574908	-88.1204453	-88.1275482
13.0	500.0	0.317558348	-88.4976044	-88.5057373
13.0	600.0	0.381621003	-88.7485046	-88.7566147
13.0	700.0	0.44575876	-88.9274368	-88.9355392
100.0	3.0	0.0637011081	0.0313335843	2.18278728e-10
100.0	100.0	0.0887930542	-44.0962257	-44.1275444
100.0	200.0	0.140884414	-63.0558128	-63.1036758
100.0	300.0	0.19995138	-71.3604355	-71.4129944
100.0	400.0	0.261355549	-75.8308182	-75.885498
100.0	500.0	0.323811889	-78.5924683	-78.6549225
100.0	600.0	0.386845946	-80.459877	-80.5222702
100.0	700.0	0.450244844	-81.8042297	-81.8665924
200.0	3.0	0.127402037	0.0626671463	-4.07453626e-10
200.0	100.0	0.141670644	-25.810751	-25.8733864
200.0	200.0	0.179019645	-44.5046654	-44.6004028
200.0	300.0	0.228458822	-55.9813194	-56.086441
200.0	400.0	0.283782959	-63.1998138	-63.3091736
200.0	500.0	0.342189163	-68.0172272	-68.142128
200.0	600.0	0.402370989	-71.4164734	-71.5412598
200.0	700.0	0.46366626	-73.9272003	-74.051918
300.0	3.0	0.191102654	0.0940006822	9.02218744e-10
300.0	100.0	0.200950339	-17.8237972	-17.9177494
300.0	200.0	0.228868246	-33.1980019	-33.3416367
300.0	300.0	0.269347697	-44.6185951	-44.7762833
300.0	400.0	0.317662507	-52.829525	-52.9935684
300.0	500.0	0.370799482	-58.7905922	-58.9779587
300.0	600.0	0.426993489	-63.226532	-63.4137115
300.0	700.0	0.485210955	-66.6187592	-66.8058319
400.0	3.0	0.2548033	0.124259472	-0.10852655
400.0	100.0	0.262326449	-13.5067787	-13.7366562
400.0	200.0	0.284334809	-26.0954876	-26.287056
400.0	300.0	0.317875415	-36.4692268	-36.6795197
400.0	400.0	0.359773368	-44.6599159	-44.8786621
400.0	500.0	0.407492995	-51.0474625	-51.2972832
400.0	600.0	0.459252417	-56.0527573	-56.30233
400.0	700.0	0.51385814	-60.024437	-60.2738724
500.0	3.0	0.318504155	0.155592635	-0.108526528
500.0	100.0	0.324613541	-10.8233395	-11.0856123
500.0	200.0	0.342702121	-21.3484936	-21.588047
500.0	300.0	0.371056795	-30.5544891	-30.8174057
500.0	400.0	0.407571852	-38.2940521	-38.5675125
500.0	500.0	0.450298041	-44.6720772	-44.9843483
500.0	600.0	0.497665077	-49.8975067	-50.2094727
500.0	700.0	0.548496068	-54.1901474	-54.5019417
600.0	3.0	0.382204682	0.186925739	-0.108526409
600.0	100.0	0.38737154	-8.99635792	-9.29055023
600.0	200.0	0.402710676	-17.9895973	-18.2771988
600.0	300.0	0.427157074	-26.1484222	-26.4640007
600.0	400.0	0.459285587	-33.3046494	-33.6328545
600.0	500.0	0.497639865	-39.4494591	-39.8241882
600.0	600.0	0.540921926	-44.6696625	-45.0440216
600.0	700.0	0.588067114	-49.0902328	-49.4643822
700.0	3.0	0.445904791	0.217184216	-0.217052519
700.0	100.0	0.450402319	-7.67202473	-8.10445595
700.0	200.0	0.463724077	-15.4997845	-15.835516
700.0	300.0	0.485164791	-22.7726688	-23.140955
700.0	400.0	0.513733566	-29.3416977	-29.7246742
700.0	500.0	0.548344731	-35.1570206	-35.5942078
700.0	600.0	0.5879547	-40.2415848	-40.6783295
700.0	700.0	0.631644607	-44.6589737	-45.0954895
800.0	3.0	0.509605467	0.248517111	-0.217052132
800.0	100.0	0.513607979	-6.66472387	-7.12897015
800.0	200.0	0.525390148	-13.5853271	-14.0738306
800.0	300.0	0.54447037	-20.1181316	-20.5391769
800.0	400.0	0.570132792	-26.1440735	-26.5818501
800.0	500.0	0.601562619	-31.6017818	-32.1014252
800.0	600.0	0.637928724	-36.4831581	-36.9822998
800.0	700.0	0.678457022	-40.8148804	-41.313755
900.0	3.0	0.573305726	0.279849797	-0.217051476
900.0	100.0	0.576929688	-5.8714776	-6.36738586
900.0	200.0	0.58750695	-12.0669651	-12.6044273
900.0	300.0	0.604692042	-17.9824181	-18.4562778
900.0	400.0	0.627957761	-23.5228691	-24.0154839
900.0	500.0	0.656682909	-28.6285191	-29.1906147
900.0	600.0	0.690205336	-33.2775421	-33.8390732
900.0	700.0	0.727880478	-37.4755287	-38.0367622
1000.0	3.0	0.637005448	0.311182261	-0.217050672
1000.0	100.0	0.640332699	-5.22902441	-5.75649929
1000.0	200.0	0.64994359	-10.8336525	-11.4200125
1000.0	300.0	0.665581167	-16.2297802	-16.7565231
1000.0	400.0	0.686848223	-21.3420372	-21.8895283
1000.0	500.0	0.713264525	-26.1163368	-26.7408848
1000.0	600.0	0.744299471	-30.5259743	-31.1499004
1000.0	700.0	0.77941829	-34.565094	-35.1886864
1100.0	3.0	0.70070529	0.341440231	-0.325575769
1100.0	100.0	0.703794301	-4.69779491	-5.36391497
1100.0	200.0	0.712615907	-9.81141281	-10.4466801
1100.0	300.0	0.726966918	-14.767787	-15.4514914
1100.0	400.0	0.74655211	-19.5028362	-20.1052494
1100.0	500.0	0.770985663	-23.9721737	-24.6591759
1100.0	600.0	0.799842477	-28.1475468	-28.8338642
1100.0	700.0	0.83267796	-32.0172882	-32.7032433
1200.0	3.0	0.764405072	0.372772366	-0.325574428
1200.0	100.0	0.767301917	-4.24839687	-4.94605541
1200.0	200.0	0.775466442	-8.94960785	-9.6338377
1200.0	300.0	0.788739383	-13.5283966	-14.2657099
1200.0	400.0	0.806888878	-17.9326839	-18.5900688
1200.0	500.0	0.829608679	-22.1244602	-22.8739185
1200.0	600.0	0.856552243	-26.0768776	-26.825592
1200.0	700.0	0.887349367	-29.7757645	-30.5240822
1300.0	3.0	0.828104436	0.404104233	-0.325572848
1300.0	100.0	0.830843806	-3.86292887	-4.59207869
1300.0	200.0	0.8384552	-8.21247578	-8.94577885
1300.0	300.0	0.850811124	-12.4648972	-13.255784
1300.0	400.0	0.867726207	-16.5775127	-17.2899227
1300.0	500.0	0.888954878	-20.5178909	-21.3298035
1300.0	600.0	0.914211869	-24.2614555	-25.0725632
1300.0	700.0	0.943186939	-27.7933331	-28.6040115
1400.0	3.0	0.891803741	0.434604168	-0.409121871
1400.0	100.0	0.894411206	-3.52885866	-4.39674664
1400.0	200.0	0.901553631	-7.57407999	-8.35656929
1400.0	300.0	0.913121402	-11.5420351	-12.3864994
1400.0	400.0	0.928965032	-15.3966179	-16.2677574
1400.0	500.0	0.948888421	-19.1094074	-19.9837742
1400.0	600.0	0.972652078	-22.6590767	-23.5325775
1400.0	700.0	0.99999547	-26.0307846	-26.9038277
1500.0	100.0	0.958001852	-3.2340405	-4.13340378
1500.0	200.0	0.96473825	-7.01571655	-7.8450551
1500.0	300.0	0.975624204	-10.7332592	-11.6313324
1500.0	400.0	0.990533113	-14.3580685	-15.2848568
1500.0	500.0	1.00930488	-17.8652	-18.802021
1500.0	600.0	1.03174043	-21.2357254	-22.1716232
1500.0	700.0	1.05761814	-24.4556198	-25.3910275
