Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
500.0	100.0	0.325388074	-10.8378239	-11.0854559
500.0	200.0	0.343523949	-21.3559608	-21.5924358
500.0	300.0	0.371947914	-30.5567551	-30.8229198
500.0	400.0	0.408556491	-38.2944832	-38.5712891
500.0	500.0	0.451394141	-44.6710014	-44.9913406
500.0	600.0	0.498885781	-49.8954773	-50.2156067
500.0	700.0	0.549852133	-54.1875534	-54.5079956
600.0	100.0	0.388295144	-9.01263618	-9.28818989
600.0	200.0	0.40367651	-17.9985981	-18.2824726
600.0	300.0	0.428182989	-26.1511631	-26.4706249
600.0	400.0	0.460395217	-33.3051758	-33.6373863
600.0	500.0	0.49885124	-39.4481812	-39.8325806
600.0	600.0	0.542248726	-44.6672363	-45.0513878
600.0	700.0	0.589520812	-49.0871162	-49.4716415
700.0	100.0	0.451475888	-7.69052982	-8.1038866
700.0	200.0	0.46483472	-15.5092754	-15.840168
700.0	300.0	0.486329973	-22.7759018	-23.148695
700.0	400.0	0.514974713	-29.3423233	-29.7299633
700.0	500.0	0.549679458	-35.1555405	-35.6039925
700.0	600.0	0.589396834	-40.2387581	-40.686924
700.0	700.0	0.633206069	-44.6553497	-45.1039581
800.0	100.0	0.514831603	-6.68492222	-7.1262722
800.0	200.0	0.526646674	-13.5951729	-14.085001
800.0	300.0	0.545778036	-20.1218643	-20.5480309
800.0	400.0	0.571510196	-26.1448097	-26.5879021
800.0	500.0	0.603026867	-31.6000996	-32.112606
800.0	600.0	0.639493406	-36.4799423	-36.9921227
800.0	700.0	0.680134237	-40.8107491	-41.3234406
900.0	100.0	0.578303814	-5.89366817	-6.3628006
900.0	200.0	0.588911057	-12.0773277	-12.6152048
900.0	300.0	0.606144309	-17.9866638	-18.4662495
900.0	400.0	0.629474759	-23.5237217	-24.0223026
900.0	500.0	0.658281267	-28.6266422	-29.2031879
900.0	600.0	0.691898227	-33.2739296	-33.8501244
900.0	700.0	0.729679883	-37.4708862	-38.047657
1000.0	100.0	0.641857743	-5.25348997	-5.7502203
1000.0	200.0	0.651496172	-10.8447075	-11.4306335
1000.0	300.0	0.667179108	-16.2341995	-16.7669907
1000.0	400.0	0.688507617	-21.3430157	-21.8971214
1000.0	500.0	0.71500057	-26.1142731	-26.7548561
1000.0	600.0	0.746124983	-30.5219841	-31.1621857
1000.0	700.0	0.78134495	-34.5599442	-35.2007904
1100.0	100.0	0.705470443	-4.72444677	-5.35895538
1100.0	200.0	0.71431762	-9.8233099	-10.4573221
1100.0	300.0	0.728711665	-14.7723885	-15.4615498
1100.0	400.0	0.748355746	-19.5039501	-20.1136131
1100.0	500.0	0.772862256	-23.9699345	-24.6745415
1100.0	600.0	0.801804066	-28.1431694	-28.847374
1100.0	700.0	0.834736168	-32.0116386	-32.7165604
1200.0	100.0	0.769129157	-4.27723694	-4.93932533
1200.0	200.0	0.77731812	-8.96247578	-9.64463997
1200.0	300.0	0.790632188	-13.533267	-14.2759914
1200.0	400.0	0.808838129	-17.93396	-18.599226
1200.0	500.0	0.831627786	-22.1220493	-22.8906746
1200.0	600.0	0.858653009	-26.0721321	-26.8403339
1200.0	700.0	0.88954258	-29.7696152	-30.5386086
1300.0	100.0	0.832822263	-3.89411068	-4.58363914
1300.0	200.0	0.840457082	-8.22631836	-8.95668125
1300.0	300.0	0.852852941	-12.4700813	-13.2663794
1300.0	400.0	0.869822264	-16.5787983	-17.2995224
1300.0	500.0	0.891118348	-20.515316	-21.34795
1300.0	600.0	0.916453779	-24.25634	-25.0885353
1300.0	700.0	0.945518196	-27.7866936	-28.6197548
1400.0	100.0	0.896540999	-3.56249022	-4.38953161
1400.0	200.0	0.903705716	-7.58881521	-8.36736202
1400.0	300.0	0.915312529	-11.5475712	-12.3974857
1400.0	400.0	0.93120873	-15.3979187	-16.2854347
1400.0	500.0	0.951197803	-19.1066856	-20.0033169
1400.0	600.0	0.975037336	-22.6535969	-23.5497837
1400.0	700.0	1.00246692	-26.0236549	-26.9207821
1500.0	100.0	0.960283041	-3.27003908	-4.12441778
1500.0	200.0	0.967041016	-7.03141499	-7.85581446
1500.0	300.0	0.977965236	-10.7391872	-11.6427822
1500.0	400.0	0.992925286	-14.3593702	-15.3029346
1500.0	500.0	1.01176107	-17.8623352	-18.8229523
1500.0	600.0	1.03427052	-21.2298946	-22.1900635
1500.0	700.0	1.06023204	-24.4480114	-25.4091988
