Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	3.0	0.00830230117	0.00408377172	0.0
13.0	100.0	0.0625350773	-82.362587	-82.3666687
13.0	200.0	0.12622112	-86.2204742	-86.2267151
13.0	300.0	0.190165058	-87.4896393	-87.4964905
13.0	400.0	0.254224092	-88.12043	-88.1275635
13.0	500.0	0.318371773	-88.4976044	-88.5057449
13.0	600.0	0.382599026	-88.7484894	-88.7566223
13.0	700.0	0.446901828	-88.9274216	-88.9355545
100.0	3.0	0.0638638362	0.0314136259	2.18278728e-10
100.0	100.0	0.0890200064	-44.0961456	-44.1275406
100.0	200.0	0.141244695	-63.0557327	-63.1037178
100.0	300.0	0.200462997	-71.3603516	-71.4130402
100.0	400.0	0.262024641	-75.8307495	-75.8855591
100.0	500.0	0.324641317	-78.592392	-78.6549988
100.0	600.0	0.38783738	-80.4597931	-80.5223465
100.0	700.0	0.451399416	-81.8041534	-81.8666763
200.0	3.0	0.127727509	0.062827237	-6.1118044e-10
200.0	100.0	0.142032743	-25.8105888	-25.8733826
200.0	200.0	0.179477453	-44.5045013	-44.6004829
200.0	300.0	0.229043365	-55.9811554	-56.0865402
200.0	400.0	0.28450945	-63.1996574	-63.3092957
200.0	500.0	0.343065709	-68.0170593	-68.1422958
200.0	600.0	0.403402179	-71.4163132	-71.5414124
200.0	700.0	0.464855254	-73.9270477	-74.0520859
300.0	3.0	0.191590816	0.0942407995	2.91038305e-10
300.0	100.0	0.201463938	-17.8235569	-17.9177494
300.0	200.0	0.229453564	-33.1977615	-33.3417625
300.0	300.0	0.270036876	-44.618351	-44.7764473
300.0	400.0	0.318475813	-52.8292923	-52.9937553
300.0	500.0	0.371749282	-58.7903595	-58.9782066
300.0	600.0	0.428087771	-63.2262878	-63.4139442
300.0	700.0	0.486455202	-66.6185226	-66.806076
400.0	3.0	0.255454212	0.124576904	-0.108803779
400.0	100.0	0.262996912	-13.5064611	-13.7369261
400.0	200.0	0.285061955	-26.095171	-26.2872276
400.0	300.0	0.31868875	-36.4689102	-36.6797409
