Distance Sea Floor [m]	Height DOM [m]	Travel Distance [m]	Absolute Travel Distance [m]	Number of Datapoints
13.0	3.0	13.13000000213263	13.0	2.0
13.0	100.0	98.80131015414165	97.86725703727473	2.0
13.0	200.0	199.35728378366963	197.42846805868703	4.0
13.0	300.0	300.210350028514	297.28437564056406	6.0
13.0	400.0	398.2063741832834	397.2127893207871	8.0
13.0	500.0	502.0010497823554	497.16999104933916	12.0
13.0	600.0	602.9552279877498	597.141524263721	14.0
13.0	700.0	704.4407089753565	697.121223317724	16.0
100.0	3.0	101.0000000182174	100.0	2.0
100.0	100.0	140.6351575664541	139.31618714277246	2.0
100.0	200.0	223.08110735383795	220.92758994747578	4.0
100.0	300.0	316.4750161980886	313.38315206788	6.0
100.0	400.0	410.4249837991548	409.40078163090993	8.0
100.0	500.0	512.0765548749557	506.96055073348657	12.0
100.0	600.0	611.4263247991489	605.3172721804657	14.0
100.0	700.0	711.2152472221619	704.1370605216005	16.0
200.0	3.0	202.00000003261545	200.0	2.0
200.0	100.0	224.38447231032157	222.28135324403618	2.0
200.0	200.0	283.467230891861	280.7294070809113	4.0
200.0	300.0	361.58895246202206	358.0628436461957	6.0
200.0	400.0	445.6442254113449	444.5323385311804	8.0
200.0	500.0	541.0852198631965	535.7322092239741	12.0
200.0	600.0	635.9192935895778	629.6101968678715	14.0
200.0	700.0	732.4344607610301	725.1268854483332	16.0
300.0	3.0	303.0000000347959	300.0	2.0
300.0	100.0	318.2760131752235	315.2919282189127	2.0
300.0	200.0	362.4013828499685	358.8997074392789	4.0
300.0	300.0	426.2979015592526	422.14807828533344	6.0
300.0	400.0	498.84773731574785	497.6032556163595	8.0
300.0	500.0	586.3471479763462	580.5247626070743	12.0
300.0	600.0	674.840181424104	668.1384587044814	14.0
300.0	700.0	766.4507859232124	758.8207957087101	16.0
400.0	3.0	404.0000903498285	400.0	3.0
400.0	100.0	415.7055195373751	411.59324581435976	3.0
400.0	200.0	450.23246652263776	445.88002870727456	4.0
400.0	300.0	503.1078360543895	498.20578077738116	6.0
400.0	400.0	564.9828423716899	563.5680970388582	8.0
400.0	500.0	644.3728414769685	637.9725699432539	12.0
400.0	600.0	725.8317754132983	718.6160309929079	14.0
400.0	700.0	811.6856950802435	803.6224237787295	16.0
500.0	3.0	505.0002686705893	500.0	3.0
500.0	100.0	514.3874775658056	509.3220984799305	3.0
500.0	200.0	542.6551601139945	537.4095272694744	4.0
500.0	300.0	587.2787290244519	581.5573918367817	6.0
500.0	400.0	640.0377137488509	638.4426364208456	8.0
500.0	500.0	712.0540716704645	704.9886523909445	12.0
500.0	600.0	786.5415290906068	778.7226720726705	14.0
500.0	700.0	866.389823611873	857.7930985966254	16.0
600.0	3.0	606.0006208775261	600.0	3.0
600.0	100.0	613.8092046000265	607.7902598758884	3.0
600.0	200.0	637.6787013089127	631.513261935171	4.0
600.0	300.0	676.0746373298547	669.4841297596232	6.0
600.0	400.0	721.2448269670625	719.4504847451283	8.0
600.0	500.0	786.9186705214336	779.1078230899751	12.0
600.0	600.0	854.9075050387835	846.4094753722928	14.0
600.0	700.0	928.9033789527825	919.6787482594126	16.0
700.0	3.0	707.0013241808058	700.0	4.0
700.0	100.0	713.7610510744563	706.6887575163482	4.0
700.0	200.0	734.2920629126031	727.19254671648	5.0
700.0	300.0	767.8814514257247	760.4005523406727	6.0
700.0	400.0	806.7288003607111	804.7415734259042	8.0
700.0	500.0	867.109548382956	858.492283017151	12.0
700.0	600.0	929.2343900067697	920.0048912913453	14.0
700.0	700.0	997.7555765953516	987.8304510390434	16.0
800.0	3.0	808.0019469235951	800.0	4.0
800.0	100.0	813.9143111895723	805.8591688378311	4.0
800.0	200.0	832.147308253694	823.8986588167261	6.0
800.0	300.0	861.7516175880156	853.3516274080691	6.0
800.0	400.0	895.3198305483882	893.0895811731318	8.0
800.0	500.0	951.2529188412475	941.8115522757194	12.0
800.0	600.0	1008.2295252957009	998.2028851891783	14.0
800.0	700.0	1071.6910527006207	1061.0414695006034	16.0
900.0	3.0	909.0025680525848	900.0	4.0
900.0	100.0	914.2414915832795	905.2121298347697	4.0
900.0	200.0	930.5261366897437	921.3083088738535	6.0
900.0	300.0	957.0677775309896	947.7388880910185	6.0
900.0	400.0	986.0826596857985	983.6711848986937	8.0
900.0	500.0	1038.4245317330542	1028.1094299732883	12.0
900.0	600.0	1090.8508137996519	1080.0041666586292	14.0
900.0	700.0	1149.7647455012263	1138.33606637056	16.0
1000.0	3.0	1010.0033573825904	1000.0	4.0
1000.0	100.0	1014.6925670486274	1004.6934855964778	4.0
1000.0	200.0	1029.4081909620875	1019.2197996506936	6.0
1000.0	300.0	1053.43909944981	1043.1725648232893	7.0
1000.0	400.0	1078.615997800044	1075.9223949709385	8.0
1000.0	500.0	1127.9066860983376	1116.695571765197	12.0
1000.0	600.0	1176.3435134789627	1164.6497327522984	14.0
1000.0	700.0	1231.1796566347261	1218.9376522201617	16.0
1100.0	3.0	1111.0059740377596	1100.0	5.0
1100.0	100.0	1115.3209096990413	1104.268536181304	5.0
1100.0	200.0	1128.6583698469922	1117.5012304243785	6.0
1100.0	300.0	1150.8083996080836	1139.389748944583	9.0
1100.0	400.0	1172.3430186215558	1169.4481604585985	8.0
1100.0	500.0	1219.1785287339872	1207.0662782134211	12.0
1100.0	600.0	1264.1348355110604	1251.5626232833897	14.0
1100.0	700.0	1315.3219443876537	1302.2323141436784	16.0
1200.0	3.0	1212.0073358272903	1200.0	5.0
1200.0	100.0	1215.9518081725332	1203.9140334758126	5.0
1200.0	200.0	1228.1957515876898	1216.062909556903	6.0
1200.0	300.0	1248.5975893540808	1236.2075068531174	9.0
1200.0	400.0	1267.0709227640018	1263.9655849745277	8.0
1200.0	500.0	1311.8849153610427	1298.8491059395622	12.0
1200.0	600.0	1353.752142970345	1340.3018316782232	14.0
1200.0	700.0	1401.667592273437	1387.7352052895394	16.0
1300.0	3.0	1313.0086951981805	1300.0	5.0
1300.0	100.0	1316.6343218940353	1303.6138231853788	5.0
1300.0	200.0	1327.9515141062993	1314.8418155808706	7.0
1300.0	300.0	1346.8519747833811	1333.4950318617614	9.0
1300.0	400.0	1362.54646167577	1359.2678176135857	9.0
1300.0	500.0	1405.7278643748534	1391.7647071254537	12.0
1300.0	600.0	1444.8841380286776	1430.527525075977	14.0
1300.0	700.0	1489.8678889957555	1475.06237156264	16.0
1400.0	3.0	1414.0127387601608	1400.0	6.0
1400.0	100.0	1417.4103965661425	1403.3563339366092	6.0
1400.0	200.0	1427.8774025520643	1413.7924175776302	7.0
1400.0	300.0	1445.492487122646	1431.156525331873	9.0
1400.0	400.0	1458.769649942998	1455.200673446793	12.0
1400.0	500.0	1500.5126166471996	1485.6005519654332	12.0
1400.0	600.0	1537.2573237811202	1521.9753611671906	14.0
1400.0	700.0	1579.6142017797547	1563.9082453903745	16.0
1500.0	3.0	0			1			0
1500.0	100.0	1518.1806666839184	1503.133061308945	6.0
1500.0	200.0	1519.953741580503	1512.881026386411	7.0
1500.0	300.0	1544.4272612284892	1529.1203353562466	9.0
1500.0	400.0	1555.355400691823	1551.647189279831	12.0
1500.0	500.0	1596.0569020672506	1580.192709766755	12.0
1500.0	600.0	1630.6438307846897	1614.4376729994874	14.0
1500.0	700.0	1670.6409675499763	1654.02811342492	16.0
