Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
50.0	3.0	0.0320058316	3.42859268	3.43363047
50.0	100.0	0.0680220649	-61.9958649	-61.9908218
50.0	200.0	0.127985179	-75.5526047	-75.5475693
50.0	300.0	0.190518603	-80.3532104	-80.348175
50.0	400.0	0.253747344	-82.772644	-82.7676239
50.0	500.0	0.317231536	-84.2238541	-84.22332
50.0	600.0	0.380877376	-85.1906815	-85.1907806
50.0	700.0	0.444638669	-85.8806	-85.881134
50.0	800.0	0.508494437	-86.3975372	-86.398407
50.0	900.0	0.572400033	-86.7988434	-86.8052292
50.0	1000.0	0.636383653	-87.1195526	-87.1262817
100.0	3.0	0.0639254972	1.70828271	1.71835792
100.0	100.0	0.0876827613	-43.2386093	-43.2285309
100.0	200.0	0.139431298	-62.7406044	-62.7305222
100.0	300.0	0.198389277	-71.2250595	-71.2149887
100.0	400.0	0.259706438	-75.7683563	-75.7652283
100.0	500.0	0.322018504	-78.5628357	-78.5616302
100.0	600.0	0.384874672	-80.4482193	-80.4483109
100.0	700.0	0.448068917	-81.8033829	-81.8043747
100.0	800.0	0.511494339	-82.8233795	-82.8351822
100.0	900.0	0.575069964	-83.6175156	-83.6302032
100.0	1000.0	0.638787568	-84.2535553	-84.2669373
150.0	3.0	0.0958642885	1.13064981	1.14576292
150.0	100.0	0.113094538	-32.0891151	-32.0740013
150.0	200.0	0.156660646	-52.3040695	-52.2889519
150.0	300.0	0.210855156	-62.9842491	-62.9691315
150.0	400.0	0.269345194	-69.1713638	-69.1663132
150.0	500.0	0.329842538	-73.1188736	-73.1167755
150.0	600.0	0.391446263	-75.8340759	-75.8339691
150.0	700.0	0.453728497	-77.8079758	-77.8092804
150.0	800.0	0.516459346	-79.3043518	-79.3217621
150.0	900.0	0.579492569	-80.4751434	-80.4939346
150.0	1000.0	0.642774224	-81.4160614	-81.4359436
200.0	3.0	0.127807856	0.839221478	0.859372258
200.0	100.0	0.141185433	-25.193676	-25.1735249
200.0	200.0	0.178001732	-44.1476974	-44.1275444
200.0	300.0	0.22716108	-55.7937927	-55.7736397
200.0	400.0	0.282287359	-63.1040459	-63.0967064
200.0	500.0	0.340494514	-67.9710922	-67.9677734
200.0	600.0	0.400465518	-71.3999405	-71.3993607
200.0	700.0	0.461535424	-73.9293365	-73.9307327
200.0	800.0	0.523331285	-75.8649445	-75.8876419
200.0	900.0	0.585628152	-77.3894196	-77.4140472
200.0	1000.0	0.648314416	-78.6202621	-78.6464157
250.0	3.0	0.159753323	0.662327886	0.687516391
250.0	100.0	0.170637384	-20.6314487	-20.6062622
250.0	200.0	0.202156499	-37.8366547	-37.8114624
250.0	300.0	0.246546254	-49.6493454	-49.6241531
250.0	400.0	0.298103362	-57.6238976	-57.6138954
250.0	500.0	0.353719205	-63.1716423	-63.1667442
250.0	600.0	0.411771715	-67.1850891	-67.1837387
250.0	700.0	0.471383095	-70.1961975	-70.1974182
250.0	800.0	0.532036245	-72.5262833	-72.5538483
250.0	900.0	0.593423605	-74.3761444	-74.4062653
250.0	1000.0	0.655368865	-75.8781815	-75.9103165
300.0	3.0	0.191699743	0.542712569	0.572938681
300.0	100.0	0.200852543	-17.4277401	-17.3975143
300.0	200.0	0.228233397	-32.919632	-32.8894043
300.0	300.0	0.268339515	-44.4494591	-44.4275246
300.0	400.0	0.31636256	-52.7356071	-52.7225876
300.0	500.0	0.369240493	-58.7466621	-58.7398071
300.0	600.0	0.4251827	-63.2157135	-63.2132454
300.0	700.0	0.483147025	-66.6303253	-66.6310654
300.0	800.0	0.542486191	-69.3055649	-69.3375168
300.0	900.0	0.602814674	-71.4487991	-71.4840088
300.0	1000.0	0.66388911	-73.2004166	-73.238205
350.0	3.0	0.22364673	0.455830812	0.491094708
350.0	100.0	0.23153232	-15.0685225	-15.0332575
350.0	200.0	0.255644917	-29.0338783	-28.9938164
350.0	300.0	0.292003542	-40.0602875	-40.0339317
350.0	400.0	0.336667955	-48.4085693	-48.3922157
350.0	500.0	0.38678211	-54.7007065	-54.6915321
350.0	600.0	0.440506339	-59.5057297	-59.5017815
350.0	700.0	0.496691048	-63.2464294	-63.2463722
350.0	800.0	0.554582417	-66.2158127	-66.2516479
350.0	900.0	0.613728166	-68.618309	-68.658165
350.0	1000.0	0.673819959	-70.5959854	-70.6390228
400.0	3.0	0.255593985	0.389807552	0.47050488
400.0	100.0	0.262513846	-13.2640285	-13.2013388
400.0	200.0	0.284000993	-25.9102249	-25.8649979
400.0	300.0	0.317122161	-36.3477936	-36.316906
400.0	400.0	0.358672261	-44.5930328	-44.5730782
400.0	500.0	0.406082571	-51.022522	-51.0106964
400.0	600.0	0.457550764	-56.0586433	-56.0528793
400.0	700.0	0.511868596	-60.0527802	-60.0856895
400.0	800.0	0.56821996	-63.2660522	-63.3052139
400.0	900.0	0.626084566	-65.8930283	-65.9370575
400.0	1000.0	0.685099959	-68.0721741	-68.1200485
450.0	3.0	0.287541568	0.33697167	0.422699749
450.0	100.0	0.293700755	-11.8415909	-11.7737474
450.0	200.0	0.313048482	-23.3605709	-23.3102264
450.0	300.0	0.343376309	-33.1918678	-33.1563568
450.0	400.0	0.382082194	-41.2319031	-41.2081223
450.0	500.0	0.426903427	-47.6906586	-47.675869
450.0	600.0	0.476131201	-52.8699112	-52.8619995
450.0	700.0	0.528542638	-57.0510178	-57.0856247
450.0	800.0	0.583290815	-60.4615135	-60.5034637
450.0	900.0	0.63980031	-63.2788239	-63.326519
450.0	1000.0	0.697663903	-65.634613	-65.6868896
500.0	3.0	0.31948927	0.293696761	0.384453863
500.0	100.0	0.325034797	-10.6937571	-10.6207972
500.0	200.0	0.342611551	-21.2480888	-21.1926575
500.0	300.0	0.370524764	-30.4917297	-30.4515209
500.0	400.0	0.406655163	-38.2681351	-38.2403336
500.0	500.0	0.44903338	-44.6780663	-44.6600609
500.0	600.0	0.496075332	-49.9292412	-49.9188766
500.0	700.0	0.546577036	-54.2399712	-54.2757111
500.0	800.0	0.59968698	-57.8041954	-57.8483887
500.0	900.0	0.654790103	-60.7792435	-60.8301086
500.0	1000.0	0.711443663	-63.2873268	-63.3435402
550.0	3.0	0.351437122	0.257375926	0.353160411
550.0	100.0	0.356477052	-9.74895477	-9.67090511
550.0	200.0	0.372567505	-19.4739494	-19.4134541
550.0	300.0	0.39838478	-28.1652222	-28.1202679
550.0	400.0	0.432192951	-35.6486816	-35.6167145
550.0	500.0	0.472288549	-41.9555206	-41.9340515
550.0	600.0	0.51722008	-47.2223129	-47.2465057
550.0	700.0	0.565841794	-51.6143265	-51.6506615
550.0	800.0	0.617303014	-55.2933388	-55.3392487
550.0	900.0	0.670968771	-58.3958054	-58.4493484
550.0	1000.0	0.726370215	-61.0327988	-61.0924911
600.0	3.0	0.383385032	0.226271063	0.327081352
600.0	100.0	0.388001323	-8.95830059	-8.87517738
600.0	200.0	0.402828753	-17.9658012	-17.9002571
600.0	300.0	0.42681703	-26.1462708	-26.096529
600.0	400.0	0.45853439	-33.32621	-33.2899551
600.0	500.0	0.496510953	-39.4938087	-39.468689
600.0	600.0	0.539427698	-44.7322502	-44.7553024
600.0	700.0	0.586215734	-49.1663322	-49.2027664
600.0	800.0	0.636037648	-52.9260483	-52.9731712
600.0	900.0	0.68825233	-56.1282806	-56.1840057
600.0	1000.0	0.742374599	-58.8722305	-58.9349442
650.0	3.0	0.415332973	0.199178874	0.305013299
650.0	100.0	0.419589043	-8.28732967	-8.19914627
650.0	200.0	0.433331311	-16.6698494	-16.5992661
650.0	300.0	0.455714434	-24.3819618	-24.3273964
650.0	400.0	0.485548764	-31.2595291	-31.2188759
650.0	500.0	0.521561384	-37.2645416	-37.2680283
650.0	600.0	0.562573314	-42.4430923	-42.4645996
650.0	700.0	0.607587397	-46.8866425	-46.922718
650.0	800.0	0.655795097	-50.6977768	-50.745636
650.0	900.0	0.706560135	-53.9750175	-54.0324554
650.0	1000.0	0.759388804	-56.8056297	-56.8709106
700.0	3.0	0.447281003	0.17523995	0.286096931
700.0	100.0	0.451227009	-7.71107864	-7.61784458
700.0	200.0	0.464027524	-15.5454826	-15.4698677
700.0	300.0	0.484993935	-22.8299007	-22.7704868
700.0	400.0	0.5131284	-29.4131012	-29.3904724
700.0	500.0	0.547329009	-35.241684	-35.2421608
700.0	600.0	0.586546063	-40.3379974	-40.3576088
700.0	700.0	0.629855394	-44.7650223	-44.8003273
700.0	800.0	0.676485896	-48.6028214	-48.6509743
700.0	900.0	0.725814641	-51.9332428	-51.9919434
700.0	1000.0	0.777332425	-54.8320427	-54.9579468
750.0	3.0	0.479229003	0.153823853	0.269701809
750.0	100.0	0.482905149	-7.2110405	-7.11276293
750.0	200.0	0.494881511	-14.5615845	-14.4809437
750.0	300.0	0.514589667	-21.4556923	-21.4009361
750.0	400.0	0.541185558	-27.7556076	-27.7288704
750.0	500.0	0.573718011	-33.4029579	-33.4002075
750.0	600.0	0.611248672	-38.4007149	-38.4181137
750.0	700.0	0.652927876	-42.7908554	-42.8250122
750.0	800.0	0.698027074	-46.634697	-46.6827316
750.0	900.0	0.745942593	-49.9993286	-50.0588684
750.0	1000.0	0.796163857	-52.9490509	-53.0795135
800.0	3.0	0.511177063	0.134858593	0.296154201
800.0	100.0	0.514616489	-6.77284431	-6.64653397
800.0	200.0	0.525865018	-13.6932755	-13.6016979
