Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
3300.0	-89.0	-80.0	2900.0	25.0	0.25672555	(0.00032973636860441865-0.0003922687924329774j)	-86.4414749	-86.4524918	0	0
3300.0	-89.0	-80.0	2900.0	25.0	0.256724745	(0.0010046911042419684-0.0009272646133095993j)	-86.4113693	-86.4154358	0	0
3300.0	-89.0	-80.0	3000.0	25.0	0.192749113	(-0.0003084473439696491+0.0021994518331498983j)	-85.2374573	-85.2415543	0	0
3300.0	-89.0	-80.0	3000.0	25.0	0.192747474	(-0.00017897007678683606+0.0004271296123962299j)	-85.2073593	-85.2114563	0	0
3300.0	-89.0	-80.0	3100.0	25.0	0.128998354	(0.0015660345362371736+0.00041417356528761223j)	-82.8896332	-82.8937302	0	0
3300.0	-89.0	-80.0	3100.0	25.0	0.128997937	(0.0025422709421265826+0.0008539389337559772j)	-82.8595352	-82.8636322	0	0
3900.0	-89.0	-80.0	2900.0	25.0	0.639851153	(-5.3178838276881136e-05-0.000290405223674061j)	-88.578598	-88.5834579	0	0
3900.0	-89.0	-80.0	2900.0	25.0	0.639838159	(0.00018957501175578646+5.64030980640603e-05j)	-88.5484924	-88.5533447	0	0
3900.0	-89.0	-80.0	3000.0	25.0	0.575742841	(-0.00017354101718855972+8.30315049142252e-05j)	-88.428093	-88.4328842	0	0
3900.0	-89.0	-80.0	3000.0	25.0	0.575738013	(-0.0003765396016049241-0.00012149561263523878j)	-88.397995	-88.402771	0	0
3900.0	-89.0	-80.0	3100.0	25.0	0.511697888	(-0.000495569860190421-0.00017071578932291524j)	-88.217392	-88.222084	0	0
3900.0	-89.0	-80.0	3100.0	25.0	0.511695683	(-0.000144714700117017-0.00011657417162307616j)	-88.187294	-88.1890945	0	0
3900.0	-89.0	-80.0	3200.0	25.0	0.447700828	(-0.00022337112337614628+2.9217012849315628e-05j)	-87.9765854	-87.9783173	0	0
3900.0	-89.0	-80.0	3200.0	25.0	0.447693855	(-0.00036718267993901836-0.0005303780189261015j)	-87.9464874	-87.948204	0	0
3900.0	-89.0	-80.0	3300.0	25.0	0.383752972	(0.0004706215621175203+0.0009337771645374288j)	-87.615387	-87.6169891	0	0
3900.0	-89.0	-80.0	3300.0	25.0	0.383750111	(7.65534272201138e-07+4.390133934172024e-05j)	-87.5852814	-87.5868759	0	0
3900.0	-89.0	-80.0	3400.0	25.0	0.319874525	(0.00013488999689867707+0.00015668574830616572j)	-87.1638794	-87.1653214	0	0
3900.0	-89.0	-80.0	3400.0	25.0	0.31987375	(0.0006644021610088498+0.0009943481028973045j)	-87.1337814	-87.1352081	0	0
3900.0	-89.0	-80.0	3500.0	25.0	0.256061673	(-0.0018152257147848842+0.0004883242905440637j)	-86.4250946	-86.4248352	0	0
3900.0	-89.0	-80.0	3600.0	25.0	0.19230929	(-3.823121649990857e-06+3.413768274383743e-05j)	-85.2675552	-85.2660828	0	0
3900.0	-89.0	-80.0	3600.0	25.0	0.192308888	(-0.000460963373071573+0.0026121204000314245j)	-85.2374573	-85.2359848	0	0
3900.0	-89.0	-80.0	3700.0	25.0	0.128746763	(-0.002095725511270252+0.003760177535936055j)	-82.8764496	-82.8749695	0	0
3300.0	-89.0	-80.0	2900.0	50.0	0.258218914	(-0.0018394657213109857-0.00031687134045646156j)	-82.866806	-82.8888092	0	0
3300.0	-89.0	-80.0	3000.0	50.0	0.194732904	(-0.000689450035949538-0.0014051072953197422j)	-80.5418091	-80.5500031	0	0
3300.0	-89.0	-80.0	3000.0	50.0	0.19473207	(-0.00034686600574492063-0.0010289090416377266j)	-80.5117035	-80.5198975	0	0
3900.0	-89.0	-80.0	2900.0	50.0	0.640451252	(-3.7118896676913177e-06-1.8630338910296822e-05j)	-87.1638794	-87.1735992	0	0
3900.0	-89.0	-80.0	2900.0	50.0	0.640444636	(0.0003532081807795009-0.00031496250770151913j)	-87.1337814	-87.143486	0	0
3900.0	-89.0	-80.0	3000.0	50.0	0.576406002	(0.00017818263936762867-0.00024540945691477363j)	-86.8327789	-86.8423386	0	0
3900.0	-89.0	-80.0	3000.0	50.0	0.576403558	(0.00024049728227782627-0.00015040781298247133j)	-86.8026733	-86.8122253	0	0
3900.0	-89.0	-80.0	3100.0	50.0	0.512445807	(0.0001613025335678009-0.00020842278264515302j)	-86.4414749	-86.4508362	0	0
3900.0	-89.0	-80.0	3100.0	50.0	0.512444556	(0.0003355497800533557-0.0002917301038883069j)	-86.4113693	-86.4149399	0	0
3900.0	-89.0	-80.0	3200.0	50.0	0.448552012	(0.00012691944542549594+0.0003881270073109507j)	-85.9297638	-85.9332047	0	0
3900.0	-89.0	-80.0	3200.0	50.0	0.448548526	(-0.00010544857436072512+0.0004472642070011454j)	-85.8996658	-85.9030914	0	0
3900.0	-89.0	-80.0	3300.0	50.0	0.384748936	(-0.00017535306502058294+0.0010393971572631995j)	-85.2374573	-85.2406464	0	0
3900.0	-89.0	-80.0	3300.0	50.0	0.384747446	(-1.2292133734437387e-05+2.8978136945067793e-05j)	-85.2073593	-85.2105331	0	0
3900.0	-89.0	-80.0	3400.0	50.0	0.32106781	(-0.000256634483357027+0.0007163583338719327j)	-84.3043442	-84.3071976	0	0
3900.0	-89.0	-80.0	3400.0	50.0	0.321067393	(-0.0002526899703002032+0.000582174955972557j)	-84.2742462	-84.2770844	0	0
3900.0	-89.0	-80.0	3500.0	50.0	0.257550985	(0.0002875897894693209+0.0018438784608057815j)	-82.8778305	-82.8801575	0	0
3900.0	-89.0	-80.0	3600.0	50.0	0.19428812	(0.0007723105520067754-0.002538786916758245j)	-80.5406342	-80.5376663	0	0
1500.0	-89.0	-80.0	2900.0	100.0	2.88198686	(3.720344149125654e-07-6.920999756621512e-07j)	-88.7114258	88.6893616	1	0
1500.0	-89.0	-80.0	2900.0	100.0	2.88204026	(-9.565760723844102e-06+3.908897607339002e-07j)	-88.6933899	88.6714859	1	0
1500.0	-89.0	-80.0	3000.0	100.0	2.94619679	(-5.888324804967791e-06-3.2491891698657614e-06j)	-88.7294617	88.7050705	1	0
1500.0	-89.0	-80.0	3000.0	100.0	2.94619751	(-2.494650869898174e-06-1.0287302932499898e-06j)	-88.7114258	88.6893616	1	0
1500.0	-89.0	-80.0	3100.0	100.0	3.01023269	(-9.992883805348203e-07-2.2224799700666694e-06j)	-88.7655334	88.7411346	1	0
1500.0	-89.0	-80.0	3100.0	100.0	3.01024795	(-1.948898977396776e-06+5.841581349378682e-06j)	-88.7474976	88.7231064	1	0
1500.0	-89.0	-80.0	3200.0	100.0	3.07424068	(-6.1280674568557755e-06+6.570650963226736e-07j)	-88.7835693	88.7591629	1	0
1500.0	-89.0	-80.0	3200.0	100.0	3.07426929	(1.868784324017068e-07-1.6686878471947518e-06j)	-88.7655334	88.7411346	1	0
1500.0	-89.0	-80.0	3300.0	100.0	3.13819003	(-7.659696335939576e-09-1.6254260391935134e-06j)	-88.8196411	88.7952423	1	0
1500.0	-89.0	-80.0	3300.0	100.0	3.13822436	(4.284993287169087e-06-3.4997394285377507e-06j)	-88.8016052	88.7771912	1	0
1500.0	-89.0	-80.0	3400.0	100.0	3.20218873	(7.837547136776742e-07-3.876513492024139e-06j)	-88.837677	88.8122864	1	0
1500.0	-89.0	-80.0	3400.0	100.0	3.20218921	(3.1816229257139507e-07-2.550729782913542e-06j)	-88.8196411	88.7952423	1	0
1500.0	-89.0	-80.0	3500.0	100.0	3.26608729	(-2.293278634778606e-06+5.057850979142751e-06j)	-88.8557129	88.830513	1	0
1500.0	-89.0	-80.0	3500.0	100.0	3.26609492	(2.836719565300209e-07+2.908925268671476e-07j)	-88.837677	88.8122864	1	0
1500.0	-89.0	-80.0	3600.0	100.0	3.32996798	(-3.459593452321927e-07+1.0534805584192793e-06j)	-88.8917847	88.8669662	1	0
1500.0	-89.0	-80.0	3600.0	100.0	3.32997489	(3.0126582919115455e-06+3.1186095396777476e-06j)	-88.8737488	88.8487396	1	0
1500.0	-89.0	-80.0	3700.0	100.0	3.77718186	(3.90258488408691e-08-1.5630831996658093e-08j)	-89.0	-88.9773941	1	1
1500.0	-89.0	-80.0	3700.0	100.0	3.39385653	(1.8106013133248885e-06+1.0978352875667725e-06j)	-88.9098206	88.8851929	1	0
1500.0	-89.0	-80.0	3700.0	100.0	3.39385867	(2.7964725564510033e-06+5.928783777319932e-07j)	-88.8917847	88.8669662	1	0
1500.0	-89.0	-80.0	3800.0	100.0	3.71330047	(2.8380255199472784e-07-4.656265290001929e-08j)	-89.0	-88.9773941	1	1
1500.0	-89.0	-80.0	3800.0	100.0	3.7133019	(3.5378863896462635e-08-1.4428762436236526e-08j)	-88.9819641	-88.959137	1	1
1500.0	-89.0	-80.0	3800.0	100.0	3.45774698	(2.076019526847527e-06-4.0429678028737255e-06j)	-88.9206619	88.8963318	1	0
1500.0	-89.0	-80.0	3900.0	100.0	3.64942002	(3.086492698773554e-07-2.8455340047903616e-08j)	-88.9819641	-88.959137	1	1
1500.0	-89.0	-80.0	3900.0	100.0	3.64942527	(2.7947875354066664e-08-3.644535497668717e-08j)	-88.9639282	-88.9408798	1	1
1500.0	-89.0	-80.0	3900.0	100.0	3.52162385	(2.5023620984844955e-06-1.729488877059481e-06j)	-88.9458923	88.9221954	1	0
1500.0	-89.0	-80.0	3900.0	100.0	3.52161646	(9.454765018057826e-07+5.875918865485675e-07j)	-88.9278564	88.9037247	1	0
2100.0	-89.0	-80.0	2900.0	100.0	3.27202606	(9.592557775114837e-07-1.3468148759458078e-06j)	-88.8557129	88.8457718	1	0
2100.0	-89.0	-80.0	2900.0	100.0	3.27208924	(-5.16950025905236e-07+4.309680328161214e-06j)	-88.837677	88.828064	1	0
2100.0	-89.0	-80.0	3000.0	100.0	3.33623815	(-2.918345582237761e-06-8.727703950239847e-07j)	-88.8737488	88.8615341	1	0
2100.0	-89.0	-80.0	3000.0	100.0	3.33623862	(-2.365517963779196e-06-5.209585589826844e-07j)	-88.8557129	88.8457718	1	0
2100.0	-89.0	-80.0	3100.0	100.0	3.40028095	(-3.912739986304248e-06+5.882541396115457e-07j)	-88.8917847	88.879364	1	0
2100.0	-89.0	-80.0	3100.0	100.0	3.40030074	(1.0367435543336247e-06-1.2105566533819392e-07j)	-88.8737488	88.8615341	1	0
2100.0	-89.0	-80.0	3200.0	100.0	3.464288	(-1.3841168924473442e-06+4.2598737723222425e-06j)	-88.9098206	88.8972015	1	0
2100.0	-89.0	-80.0	3200.0	100.0	3.46432447	(-7.258031862616565e-08+6.140029574860595e-08j)	-88.8917847	88.879364	1	0
2100.0	-89.0	-80.0	3300.0	100.0	3.52823591	(-4.1319694662117374e-07-3.0922329997447934e-07j)	-88.9458923	88.9330215	1	0
2100.0	-89.0	-80.0	3300.0	100.0	3.52826452	(2.781138155981192e-06-2.39046767525295e-06j)	-88.9278564	88.9150314	1	0
2100.0	-89.0	-80.0	3400.0	100.0	3.59223557	(-6.551799977615572e-07-5.472328809945962e-07j)	-88.9639282	88.9499588	1	0
2100.0	-89.0	-80.0	3400.0	100.0	3.59223604	(-2.4139396406882834e-06-1.7307613478172145e-06j)	-88.9458923	88.9330215	1	0
2100.0	-89.0	-80.0	3500.0	100.0	3.65612984	(-2.5039416898739938e-08+9.960769611496375e-07j)	-88.9819641	88.9680023	1	0
2100.0	-89.0	-80.0	3500.0	100.0	3.6561377	(2.342395805592653e-06+8.851176171874282e-07j)	-88.9639282	88.9499588	1	0
2100.0	-89.0	-80.0	3600.0	100.0	3.72001624	(8.216393390535565e-07+5.508706627820867e-07j)	-89.0	88.9860535	1	0
2100.0	-89.0	-80.0	3600.0	100.0	3.72002459	(1.6643332586165695e-06-1.4626672472626085e-06j)	-88.9819641	88.9680023	1	0
2100.0	-89.0	-80.0	3700.0	100.0	3.78390741	(8.162283702852398e-07-1.8943509059224277e-06j)	-89.0	88.9860535	1	0
2700.0	-89.0	-80.0	2900.0	100.0	3.65900183	(-2.715190111581886e-06+8.027297808358407e-07j)	-88.9639282	88.9628754	1	0
2700.0	-89.0	-80.0	2900.0	100.0	3.65908766	(-2.459823187162213e-07+6.388055666608706e-07j)	-88.9458923	88.9453964	1	0
2700.0	-89.0	-80.0	3000.0	100.0	3.72319198	(-8.217478283743034e-07-2.556378635267874e-06j)	-88.9819641	88.978653	1	0
2700.0	-89.0	-80.0	3000.0	100.0	3.72322226	(4.977405089456725e-07-1.84514943886608e-07j)	-88.9639282	88.9628754	1	0
2700.0	-89.0	-80.0	3100.0	100.0	3.78723407	(-1.4578462808916438e-06-1.9608459083724866e-06j)	-89.0	88.9963074	1	0
2700.0	-89.0	-80.0	3100.0	100.0	3.78725839	(4.858793004792352e-07+1.2556646135933012e-07j)	-88.9819641	88.978653	1	0
2700.0	-89.0	-80.0	3200.0	100.0	3.8512764	(-4.783638265296441e-07-3.0357891560445664e-07j)	-89.0	88.9963074	1	0
3900.0	-89.0	-80.0	2900.0	100.0	0.642836392	(0.00021932045928984678+0.00013957190890037316j)	-84.2925873	-84.3119202	0	0
3900.0	-89.0	-80.0	2900.0	100.0	0.642834365	(0.00014509168171957922+0.00017736211043962145j)	-84.2745514	-84.2938766	0	0
3900.0	-89.0	-80.0	3000.0	100.0	0.57905823	(-0.00039392855594377196-0.00011243653156530777j)	-83.6613235	-83.6803284	0	0
3900.0	-89.0	-80.0	3000.0	100.0	0.579057455	(-0.00015923752338957892-6.728093965431419e-05j)	-83.6432877	-83.6622849	0	0
3900.0	-89.0	-80.0	3100.0	100.0	0.515426576	(-0.0003596455291499379+0.0006029281137703933j)	-82.8728027	-82.8913879	0	0
3900.0	-89.0	-80.0	3200.0	100.0	0.451952547	(0.00020585510285746204+0.00048678205221345215j)	-81.8757553	-81.8825302	0	0
3900.0	-89.0	-80.0	3200.0	100.0	0.451951474	(7.563391501942735e-05+0.0003208041761555071j)	-81.8577118	-81.8644867	0	0
3900.0	-89.0	-80.0	3300.0	100.0	0.388707608	(-0.0003269103351633629+0.0008287223484158745j)	-80.5410843	-80.5473404	0	0
3900.0	-89.0	-80.0	3300.0	100.0	0.388707131	(-7.7943977607424e-05+0.00016108416283332013j)	-80.5230484	-80.5292969	0	0
1500.0	-89.0	-80.0	2900.0	200.0	4.29061079	(1.2091220737530183e-08+5.5922759367932236e-08j)	-88.2792816	-88.2462845	1	1
1500.0	-89.0	-80.0	2900.0	200.0	4.29057741	(8.625105188638052e-08+2.8390714726636562e-08j)	-88.2702713	-88.2369003	1	1
1500.0	-89.0	-80.0	2900.0	200.0	2.88425851	(3.8239929642833135e-06+9.117089474969056e-07j)	-87.3963928	87.3525391	1	0
1500.0	-89.0	-80.0	2900.0	200.0	2.88427186	(-1.8421403678088238e-06-6.124635569328836e-06j)	-87.3873901	87.343605	1	0
1500.0	-89.0	-80.0	3000.0	200.0	4.22646952	(-8.718672572452711e-10-6.483612046471402e-08j)	-88.2522507	-88.2181244	1	1
1500.0	-89.0	-80.0	3000.0	200.0	4.22644997	(8.11638094415119e-09+9.624272648892267e-08j)	-88.2432404	-88.2087402	1	1
1500.0	-89.0	-80.0	3000.0	200.0	2.94837689	(7.783912265174001e-06+4.137037097799744e-06j)	-87.4504471	87.4016953	1	0
1500.0	-89.0	-80.0	3000.0	200.0	2.94837976	(5.816258187095773e-07+2.1937170357244547e-08j)	-87.4414444	87.3976593	1	0
1500.0	-89.0	-80.0	3100.0	200.0	4.16239786	(-5.467497835412996e-08-1.3803855035560502e-08j)	-88.2252274	-88.1899719	1	1
1500.0	-89.0	-80.0	3100.0	200.0	4.16238928	(2.9021785238801856e-09-1.1965785156388147e-07j)	-88.216217	-88.1805878	1	1
1500.0	-89.0	-80.0	3100.0	200.0	3.01237202	(5.737016883648221e-07+1.746978607900167e-06j)	-87.5135117	87.4647369	1	0
1500.0	-89.0	-80.0	3100.0	200.0	3.01237607	(5.488337810142223e-06+3.896035253805957e-06j)	-87.5045013	87.4557266	1	0
1500.0	-89.0	-80.0	3200.0	200.0	4.09838343	(1.5552072279734957e-07-1.1282957500388851e-07j)	-88.1904221	-88.1511841	1	1
1500.0	-89.0	-80.0	3200.0	200.0	3.07632661	(-8.892308409182565e-07+1.5090120855104868e-06j)	-87.5675659	87.5187683	1	0
1500.0	-89.0	-80.0	3200.0	200.0	3.07633376	(3.3791943525677823e-06+5.040164965427827e-06j)	-87.5585556	87.5097656	1	0
1500.0	-89.0	-80.0	3300.0	200.0	4.03444958	(4.050158713700496e-09+1.7698862097291144e-07j)	-88.1621628	-88.1218033	1	1
1500.0	-89.0	-80.0	3300.0	200.0	4.03443098	(-7.8092195907934e-09-3.1529732021357154e-08j)	-88.1531525	-88.1125336	1	1
1500.0	-89.0	-80.0	3300.0	200.0	3.14025688	(6.180736042975384e-06+3.29743362798554e-06j)	-87.6126099	87.563797	1	0
1500.0	-89.0	-80.0	3300.0	200.0	3.14026618	(7.506282994738862e-08-1.0970862931063845e-07j)	-87.6036072	87.5547867	1	0
1500.0	-89.0	-80.0	3400.0	200.0	3.97051096	(-2.397729108540296e-08-9.812755892078969e-08j)	-88.1351318	-88.0940018	1	1
1500.0	-89.0	-80.0	3400.0	200.0	3.97050095	(1.2403082914273778e-07-3.010043316274785e-08j)	-88.1261292	-88.0847321	1	1
1500.0	-89.0	-80.0	3400.0	200.0	3.20418715	(1.4125345110535377e-06-2.9415964818244017e-06j)	-87.6666641	87.615799	1	0
1500.0	-89.0	-80.0	3400.0	200.0	3.2041893	(3.560680769915078e-07-3.22522429218538e-06j)	-87.6576614	87.6092377	1	0
1500.0	-89.0	-80.0	3500.0	200.0	3.90660787	(-5.607382038672295e-08+2.2359063715586482e-07j)	-88.0990982	-88.0569305	1	1
1500.0	-89.0	-80.0	3500.0	200.0	3.90660429	(-1.3778186764042142e-08+1.3167323517060026e-08j)	-88.0900879	-88.0476685	1	1
1500.0	-89.0	-80.0	3500.0	200.0	3.26804519	(-3.2561443904132914e-06+3.4565449829590554e-06j)	-87.7117081	87.6613159	1	0
1500.0	-89.0	-80.0	3500.0	200.0	3.26804686	(-5.658254409873536e-07+1.0526116892207968e-06j)	-87.7027054	87.6522141	1	0
1500.0	-89.0	-80.0	3600.0	200.0	3.84274197	(2.511551769447397e-07-1.05686392208271e-07j)	-88.0656128	-88.0217133	1	1
1500.0	-89.0	-80.0	3600.0	200.0	3.33189154	(1.1535822473683784e-06+4.675404349239931e-06j)	-87.7567596	87.7068329	1	0
1500.0	-89.0	-80.0	3600.0	200.0	3.33189368	(3.360565406617558e-07+5.151165592800758e-07j)	-87.7477493	87.697731	1	0
1500.0	-89.0	-80.0	3700.0	200.0	3.77887678	(-1.3890547283328682e-07-6.152066323660569e-08j)	-88.0360336	-87.9912643	1	1
1500.0	-89.0	-80.0	3700.0	200.0	3.77887225	(-6.239483270938736e-08-1.3174917555314203e-07j)	-88.0270233	-87.9821396	1	1
1500.0	-89.0	-80.0	3700.0	200.0	3.39573789	(3.6471637077594406e-06+1.2551071972714205e-06j)	-87.8018036	87.7523499	1	0
1500.0	-89.0	-80.0	3700.0	200.0	3.3957386	(1.0796376185876262e-06+2.4132759974926764e-07j)	-87.7927933	87.7432404	1	0
1500.0	-89.0	-80.0	3800.0	200.0	3.71501303	(1.0497062772247328e-07+1.6565098186577026e-07j)	-88.0	-87.9547882	1	1
1500.0	-89.0	-80.0	3800.0	200.0	3.71501255	(6.063745614739243e-08+1.1384153230253938e-07j)	-87.9909897	-87.9456635	1	1
1500.0	-89.0	-80.0	3800.0	200.0	3.45959163	(-5.504636638123903e-07-2.1027276164315718e-06j)	-87.8468475	87.7983475	1	0
1500.0	-89.0	-80.0	3800.0	200.0	3.4595921	(-7.644107287787117e-07-2.232661036546035e-06j)	-87.8378372	87.7889786	1	0
1500.0	-89.0	-80.0	3900.0	200.0	3.65116382	(-1.5227008373870803e-07+1.2539709133024603e-07j)	-87.9639664	-87.9183044	1	1
1500.0	-89.0	-80.0	3900.0	200.0	3.65116477	(-1.0556669547031471e-07+1.173347462790137e-07j)	-87.9549561	-87.9091873	1	1
1500.0	-89.0	-80.0	3900.0	200.0	3.52343369	(-5.9777603010050786e-09-9.13149643509375e-09j)	-87.8918915	87.8444748	1	0
1500.0	-89.0	-80.0	3900.0	200.0	3.52343154	(-9.902973909276105e-07-4.013619957213307e-06j)	-87.8828812	87.8352509	1	0
2100.0	-89.0	-80.0	2900.0	200.0	4.68052721	(-2.6294527838433547e-08+7.21608553682791e-08j)	-88.4054031	-88.3882523	1	1
2100.0	-89.0	-80.0	2900.0	200.0	4.68048763	(-3.502931695176553e-09+1.2024988643995627e-08j)	-88.3963928	-88.3789291	1	1
2100.0	-89.0	-80.0	2900.0	200.0	3.27401757	(9.66969752128359e-07+3.8813134791710273e-07j)	-87.6936951	87.6741257	1	0
2100.0	-89.0	-80.0	2900.0	200.0	3.27403474	(-3.345457345199109e-06-3.630519670297585e-06j)	-87.6846848	87.6652985	1	0
2100.0	-89.0	-80.0	3000.0	200.0	4.61639977	(-3.223524734511012e-08+1.700073753424694e-09j)	-88.3873901	-88.3695984	1	1
2100.0	-89.0	-80.0	3000.0	200.0	4.61637592	(5.5354688224992274e-08+3.4095723536542906e-08j)	-88.3783798	-88.3602753	1	1
2100.0	-89.0	-80.0	3000.0	200.0	3.33816028	(-1.6414852130421082e-06+7.224287944642722e-08j)	-87.738739	87.7144241	1	0
2100.0	-89.0	-80.0	3000.0	200.0	3.33816266	(-3.4831542233557496e-06+1.5464316110994327e-06j)	-87.7297287	87.710022	1	0
2100.0	-89.0	-80.0	3100.0	200.0	4.55231524	(-6.122604049962031e-08-4.740781082930842e-08j)	-88.3603592	-88.341629	1	1
2100.0	-89.0	-80.0	3100.0	200.0	4.55230522	(1.755087404944041e-08-2.2520057973215747e-08j)	-88.3513489	-88.3323059	1	1
2100.0	-89.0	-80.0	3100.0	200.0	3.40216589	(-7.099578446401206e-07+9.424880847800321e-07j)	-87.783783	87.7589645	1	0
2100.0	-89.0	-80.0	3100.0	200.0	3.4021709	(5.365205680186058e-07+3.769790000862771e-06j)	-87.7747726	87.7500534	1	0
2100.0	-89.0	-80.0	3200.0	200.0	4.48829842	(1.1403431953431223e-07+1.832824176268769e-08j)	-88.3337936	-88.3115311	1	1
2100.0	-89.0	-80.0	3200.0	200.0	3.46613717	(4.058252271632495e-06+1.9330793687610187e-06j)	-87.8198166	87.7945938	1	0
2100.0	-89.0	-80.0	3200.0	200.0	3.46614599	(3.982832490151557e-08-5.4638295116919327e-08j)	-87.8108139	87.7856827	1	0
2100.0	-89.0	-80.0	3300.0	200.0	4.4243784	(3.541014056543515e-08+5.805407421509021e-09j)	-88.3153152	-88.2926483	1	1
2100.0	-89.0	-80.0	3300.0	200.0	4.42435503	(-6.921015416479436e-08-5.733836533555282e-08j)	-88.3063049	-88.2834473	1	1
2100.0	-89.0	-80.0	3300.0	200.0	3.53006721	(9.910556651954928e-07-2.114716407771387e-06j)	-87.8648682	87.8391342	1	0
2100.0	-89.0	-80.0	3300.0	200.0	3.53007865	(-1.7985323523945772e-06-3.8721388458895883e-07j)	-87.8558578	87.8302231	1	0
2100.0	-89.0	-80.0	3400.0	200.0	4.36042166	(5.620649682421405e-08-2.0490211910772055e-08j)	-88.2882919	-88.2650604	1	1
2100.0	-89.0	-80.0	3400.0	200.0	4.36040974	(3.7039773014370785e-09+7.712670631708556e-08j)	-88.2792816	-88.2558594	1	1
2100.0	-89.0	-80.0	3400.0	200.0	3.5940156	(2.8336548594337168e-06+2.3442031701737716e-06j)	-87.9009018	87.8729401	1	0
2100.0	-89.0	-80.0	3400.0	200.0	3.59401703	(1.2295942846009504e-07+6.192283819933818e-08j)	-87.8918915	87.8661575	1	0
2100.0	-89.0	-80.0	3500.0	200.0	4.29651403	(-4.928473458885536e-08-5.598211507712899e-08j)	-88.261261	-88.2374725	1	1
2100.0	-89.0	-80.0	3500.0	200.0	4.29650927	(1.9317149634235086e-09-7.47478563302076e-08j)	-88.2522507	-88.2282715	1	1
2100.0	-89.0	-80.0	3500.0	200.0	3.65788078	(-7.298068788505609e-07+8.986761952673541e-08j)	-87.9459457	87.9180222	1	0
2100.0	-89.0	-80.0	3500.0	200.0	3.65788293	(-2.47007867298079e-06+1.2245460911983615e-06j)	-87.9369354	87.9090042	1	0
2100.0	-89.0	-80.0	3600.0	200.0	4.23264027	(-1.6141519667138848e-07+2.1307240690901704e-08j)	-88.2294617	-88.2044983	1	1
2100.0	-89.0	-80.0	3600.0	200.0	3.72173595	(7.899209954075885e-07+5.834447003243818e-07j)	-87.9819794	87.9540787	1	0
2100.0	-89.0	-80.0	3600.0	200.0	3.7217381	(2.1176460293255536e-06+6.514729837598766e-07j)	-87.9729767	87.9450684	1	0
2100.0	-89.0	-80.0	3700.0	200.0	4.1687727	(2.97149105619493e-08+5.2757269474602715e-08j)	-88.2072067	-88.1814957	1	1
2100.0	-89.0	-80.0	3700.0	200.0	4.16876698	(-4.4016331158539016e-08+1.0845301535567473e-07j)	-88.1981964	-88.1724625	1	1
2100.0	-89.0	-80.0	3700.0	200.0	3.78559184	(-2.1838905852354e-07-7.344439436191708e-07j)	-88.0180206	87.9901428	1	0
2100.0	-89.0	-80.0	3700.0	200.0	3.78559232	(-7.706561132895846e-07-2.0202646276689308e-06j)	-88.0090103	87.9811249	1	0
2100.0	-89.0	-80.0	3800.0	200.0	4.10490179	(2.0029119696743437e-08-7.768788366401557e-09j)	-88.1801834	-88.1543961	1	1
2100.0	-89.0	-80.0	3800.0	200.0	4.10490084	(1.6795550284074338e-07-3.769664965764914e-08j)	-88.1711731	-88.1453629	1	1
