Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
50.0	3.0	0.03300336	3.44474649	3.43363047
50.0	100.0	0.0701813996	-61.9797096	-61.9908218
50.0	200.0	0.132120579	-75.5354919	-75.5589981
50.0	300.0	0.196775809	-80.3350906	-80.3557892
50.0	400.0	0.262202919	-82.753685	-82.7801971
50.0	500.0	0.327990294	-84.2060013	-84.2361526
50.0	600.0	0.393998235	-85.1734772	-85.2015076
50.0	700.0	0.460158199	-85.8639297	-85.8955765
50.0	800.0	0.526439369	-86.3813019	-86.4126587
50.0	900.0	0.592829764	-86.783371	-86.8148575
50.0	1000.0	0.659312844	-87.1047363	-87.1346741
100.0	3.0	0.0659178644	1.74058986	1.71835804
100.0	100.0	0.0904662088	-43.2063141	-43.2285309
100.0	200.0	0.14393577	-62.7060509	-62.7510605
100.0	300.0	0.204903364	-71.1888046	-71.246521
100.0	400.0	0.268363953	-75.7307281	-75.7831268
100.0	500.0	0.3329418	-78.5272522	-78.5870819
100.0	600.0	0.398132265	-80.4139175	-80.4781342
100.0	700.0	0.463708758	-81.77005	-81.8333511
100.0	800.0	0.529549181	-82.7908859	-82.8535843
100.0	900.0	0.595596194	-83.5866089	-83.6495819
100.0	1000.0	0.661804259	-84.2239761	-84.2838287
150.0	3.0	0.0988520756	1.17878056	1.11271906
150.0	100.0	0.116683453	-32.0398254	-32.1083832
150.0	200.0	0.161721036	-52.251812	-52.3156319
150.0	300.0	0.217777804	-62.9296074	-63.0131989
150.0	400.0	0.278329492	-69.1156998	-69.1928253
150.0	500.0	0.341034561	-73.0657883	-73.1543884
150.0	600.0	0.404932261	-75.7827454	-75.8782501
150.0	700.0	0.469566643	-77.7580338	-77.8529739
150.0	800.0	0.534692049	-79.2557144	-79.3497467
150.0	900.0	0.60017848	-80.4288177	-80.5232773
150.0	1000.0	0.665935874	-81.3717117	-81.4614944
200.0	3.0	0.131791234	0.903430462	0.82625401
200.0	100.0	0.145665243	-25.1268654	-25.2089691
200.0	200.0	0.183751091	-44.0776978	-44.1580124
200.0	300.0	0.234618276	-55.7205963	-55.8274956
200.0	400.0	0.291709989	-63.0310059	-63.1314201
200.0	500.0	0.352052093	-67.9007874	-68.0169678
200.0	600.0	0.414264709	-71.3316879	-71.45755
200.0	700.0	0.477646977	-73.8628235	-73.9893875
200.0	800.0	0.541810036	-75.800293	-75.9256592
200.0	900.0	0.606535673	-77.327774	-77.4537125
200.0	1000.0	0.671677351	-78.5611801	-78.6808929
250.0	3.0	0.164732367	0.742642999	0.65435493
250.0	100.0	0.176051527	-20.5474548	-20.6419983
250.0	200.0	0.208684593	-37.7490692	-37.8820648
250.0	300.0	0.254639208	-49.5575027	-49.6853333
250.0	400.0	0.308058083	-57.534256	-57.6853218
250.0	500.0	0.365730166	-63.084362	-63.2267532
250.0	600.0	0.425963312	-67.1000366	-67.2551804
250.0	700.0	0.487839341	-70.1131439	-70.2713165
250.0	800.0	0.55082649	-72.4457474	-72.6024246
250.0	900.0	0.61461252	-74.2992554	-74.4566574
250.0	1000.0	0.678987861	-75.8044205	-75.9540405
300.0	3.0	0.197674483	0.638818324	0.506702363
300.0	100.0	0.207224846	-17.3269844	-17.4727211
300.0	200.0	0.23560296	-32.8138428	-32.9630775
300.0	300.0	0.27715233	-44.341011	-44.4877625
300.0	400.0	0.326933146	-52.6294594	-52.8047562
300.0	500.0	0.381782949	-58.6426239	-58.8097763
300.0	600.0	0.439839214	-63.113945	-63.2971573
300.0	700.0	0.500014544	-66.5307388	-66.72052
300.0	800.0	0.561650217	-69.2092819	-69.3972778
300.0	900.0	0.624342382	-71.3567429	-71.5456161
300.0	1000.0	0.687817335	-73.1120224	-73.2915497
350.0	3.0	0.230617151	0.568038285	0.424818575
350.0	100.0	0.238877878	-14.9504223	-15.1083031
350.0	200.0	0.263899237	-28.9103546	-29.0744152
350.0	300.0	0.30159831	-39.9367485	-40.1404724
350.0	400.0	0.347922564	-48.286129	-48.4837532
350.0	500.0	0.399921715	-54.5803375	-54.8014412
350.0	600.0	0.455693513	-59.3872566	-59.5973206
350.0	700.0	0.514031768	-63.1303024	-63.3516731
350.0	800.0	0.574178755	-66.1039505	-66.3232422
350.0	900.0	0.635649204	-68.5111847	-68.7315063
350.0	1000.0	0.698108375	-70.4930115	-70.702446
400.0	3.0	0.263560146	0.517722905	0.363403499
400.0	100.0	0.270842314	-13.12957	-13.2992697
400.0	200.0	0.293174773	-25.7718639	-25.9497795
400.0	300.0	0.327547163	-36.2085724	-36.430645
400.0	400.0	0.370667279	-44.4543724	-44.6726685
400.0	500.0	0.419881463	-50.8855896	-51.131649
400.0	600.0	0.473327637	-55.9234772	-56.1591606
400.0	700.0	0.529744744	-59.9200439	-60.1730118
400.0	800.0	0.588303328	-63.1387253	-63.3893127
400.0	900.0	0.648450494	-65.7709198	-66.0226898
400.0	1000.0	0.709797144	-67.9546509	-68.193985
450.0	3.0	0.296503365	0.480723143	0.282587647
450.0	100.0	0.303019136	-11.6921244	-11.9136581
450.0	200.0	0.323162138	-23.2071705	-23.4420223
450.0	300.0	0.35466826	-33.0368423	-33.2758865
450.0	400.0	0.394862503	-41.0772629	-41.3138046
450.0	500.0	0.441412807	-47.5371284	-47.8066368
450.0	600.0	0.492549092	-52.7180977	-52.977684
450.0	700.0	0.547007322	-56.9025497	-57.18713
450.0	800.0	0.603911698	-60.3188324	-60.6007195
450.0	900.0	0.662659824	-63.1417961	-63.4250069
450.0	1000.0	0.722815931	-65.5025787	-65.7718124
500.0	3.0	0.329446793	0.453590572	0.244366691
500.0	100.0	0.335347891	-10.5284653	-10.7616758
500.0	200.0	0.353682309	-21.0789433	-21.3273163
500.0	300.0	0.382712543	-30.3207397	-30.5757065
500.0	400.0	0.420259655	-38.0972099	-38.3949738
500.0	500.0	0.464297146	-44.5078545	-44.7994652
500.0	600.0	0.513179779	-49.7608681	-50.0764771
500.0	700.0	0.56567806	-54.0759735	-54.392086
500.0	800.0	0.620892286	-57.646244	-57.9594383
500.0	900.0	0.678188503	-60.6273384	-60.9419975
500.0	1000.0	0.737093866	-63.1408005	-63.4398155
550.0	3.0	0.36239025	0.433402181	0.213095605
550.0	100.0	0.367788374	-9.56768799	-9.81244278
550.0	200.0	0.384607732	-19.2888641	-19.550272
550.0	300.0	0.411489427	-27.9784241	-28.293993
550.0	400.0	0.446653962	-35.4611816	-35.7778091
550.0	500.0	0.488344431	-41.7685089	-42.0810242
550.0	600.0	0.53505969	-47.0373764	-47.3773575
550.0	700.0	0.585621953	-51.434906	-51.7825394
550.0	800.0	0.639135838	-55.1202202	-55.4646912
550.0	900.0	0.694948018	-58.2290497	-58.5751572
550.0	1000.0	0.752558649	-60.8718491	-61.2002792
600.0	3.0	0.395333886	0.418094099	0.153988943
600.0	100.0	0.400312781	-8.76132107	-9.05808258
600.0	200.0	0.415846884	-17.7648849	-18.0841312
600.0	300.0	0.440858454	-25.9429588	-26.2739925
600.0	400.0	0.473878294	-33.1219749	-33.4564629
600.0	500.0	0.513388157	-39.2902641	-39.6633682
600.0	600.0	0.558039844	-44.5317116	-44.8949852
600.0	700.0	0.606713414	-48.9715271	-49.3506889
600.0	800.0	0.658537388	-52.7378159	-53.1135254
600.0	900.0	0.712851942	-55.9466934	-56.3242493
600.0	1000.0	0.769139469	-58.6968422	-59.0545921
650.0	3.0	0.428277493	0.407113224	0.131940335
650.0	100.0	0.432903051	-8.07402706	-8.38225746
650.0	200.0	0.447335839	-16.4524384	-16.7844963
650.0	300.0	0.470707595	-24.1619682	-24.5078278
650.0	400.0	0.501795113	-31.0388298	-31.4357719
650.0	500.0	0.539295077	-37.0445251	-37.4381523
650.0	600.0	0.581990182	-42.2269592	-42.612545
650.0	700.0	0.62883693	-46.6764641	-47.087162
650.0	800.0	0.678997397	-50.4944382	-50.9013824
650.0	900.0	0.731816351	-53.7786293	-54.1875801
650.0	1000.0	0.786765814	-56.6157837	-57.0027618
700.0	3.0	0.461221159	0.399277627	0.113044485
700.0	100.0	0.465544999	-7.48139095	-7.80101728
700.0	200.0	0.479024619	-15.3114643	-15.6560678
700.0	300.0	0.500949264	-22.5935192	-23.0010777
700.0	400.0	0.530299485	-29.1754551	-29.5897713
700.0	500.0	0.565944076	-35.0060349	-35.4192734
700.0	600.0	0.606792212	-40.1066551	-40.5514145
700.0	700.0	0.651887417	-44.5394363	-44.9816971
700.0	800.0	0.700423121	-48.384346	-48.8225327
700.0	900.0	0.751760721	-51.7220268	-52.1623688
700.0	1000.0	0.805370748	-54.6276855	-55.0695953
750.0	3.0	0.494164824	0.393630505	0.0636216328
750.0	100.0	0.498228014	-6.96530914	-7.33699894
750.0	200.0	0.510874987	-14.3112316	-14.7140408
750.0	300.0	0.531519532	-21.2025204	-21.6245632
750.0	400.0	0.559299469	-27.5022469	-27.9332523
750.0	500.0	0.59323281	-33.151947	-33.5819511
750.0	600.0	0.632352173	-38.1537628	-38.6204987
750.0	700.0	0.675770402	-42.5498772	-43.0236473
750.0	800.0	0.72272867	-46.4010315	-46.870472
750.0	900.0	0.772608995	-49.7732162	-50.2449532
750.0	1000.0	0.824887097	-52.7307625	-53.2035789
800.0	3.0	0.52710855	0.390350521	0.0493000932
800.0	100.0	0.530945361	-6.51092005	-6.89395666
800.0	200.0	0.54286021	-13.4266853	-13.8418961
800.0	300.0	0.562363446	-19.9619846	-20.3981133
800.0	400.0	0.588721752	-25.9937553	-26.4406586
800.0	500.0	0.621080697	-31.4609985	-31.9559174
800.0	600.0	0.658578873	-36.3532562	-36.8412018
800.0	700.0	0.700400472	-40.6971283	-41.2023849
800.0	800.0	0.745835066	-44.537571	-45.0382805
800.0	900.0	0.794290066	-47.9279633	-48.4310913
800.0	1000.0	0.845251083	-50.9226303	-51.4262733
850.0	3.0	0.560052276	0.388751447	0.0366686694
850.0	100.0	0.563690603	-6.10792923	-6.50226831
850.0	200.0	0.574957132	-12.6393356	-13.0667801
850.0	300.0	0.593436658	-18.8499489	-19.2972183
850.0	400.0	0.618504047	-24.628706	-25.1396122
850.0	500.0	0.649414897	-29.9149971	-30.4284191
850.0	600.0	0.685395598	-34.6909332	-35.1993675
850.0	700.0	0.725701451	-38.970829	-39.5075836
850.0	800.0	0.769670546	-42.7868958	-43.3188362
850.0	900.0	0.816737592	-46.1815872	-46.7161255
850.0	1000.0	0.866402984	-49.2004128	-49.7348099
900.0	3.0	0.592996001	0.388225436	-0.00760494545
900.0	100.0	0.596458733	-5.74830723	-6.19472027
